biosample_id,type,name,associated_studies,env_broad_scale,env_local_scale,env_medium,samp_name,collection_date,depth,ecosystem,ecosystem_category,ecosystem_subtype,ecosystem_type,elev,env_package,geo_loc_name,growth_facil,lat_lon,samp_store_temp,specific_ecosystem,store_cond,analysis_type,gold_biosample_identifiers,provenance_metadata,experimental_factor,sample_link
nmdc:bsm-11-frgt4x11,nmdc:Biosample,BW-C-14-M,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],mineral horizon [ENVO:03600011],forest soil [ENVO:00002261],BW-C-14-M,2017-05-24,.02 -.10,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",field_incubation,42.481016 -72.178343,-80 Celsius,Mineral soil,frozen,"['metatranscriptomics', 'metagenomics', 'natural organic matter', 'metaproteomics', 'metabolomics', 'lipidomics']","['gold:Gb0157190', 'gold:Gb0158495']","{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T17:08:02Z'}",,
nmdc:bsm-11-g61cvw79,nmdc:Biosample,BW-C-27-M,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],mineral horizon [ENVO:03600011],forest soil [ENVO:00002261],BW-C-27-M,2017-05-24,.02 -.10,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",field_incubation,42.481016 -72.178343,-80 Celsius,Mineral soil,frozen,"['metatranscriptomics', 'metagenomics', 'natural organic matter', 'metaproteomics', 'metabolomics']","['gold:Gb0157198', 'gold:Gb0158491']","{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:48:11Z'}",,
nmdc:bsm-11-gk0czc37,nmdc:Biosample,BW-H-26-M,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],mineral horizon [ENVO:03600011],heat stressed soil [ENVO:00005781],BW-H-26-M,2017-05-24,.02 -.10,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",field_incubation,42.481016 -72.178343,-80 Celsius,Mineral soil,frozen,"['metatranscriptomics', 'metagenomics', 'natural organic matter', 'metaproteomics', 'metabolomics', 'lipidomics']","['gold:Gb0157191', 'gold:Gb0158489']","{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:48:11Z'}",heat stress treatment [MCO:0000172],
nmdc:bsm-11-gr59rt72,nmdc:Biosample,BW-H-28-M,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],mineral horizon [ENVO:03600011],heat stressed soil [ENVO:00005781],BW-H-28-M,2017-05-24,.02 -.10,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",field_incubation,42.481016 -72.178343,-80 Celsius,Mineral soil,frozen,"['metatranscriptomics', 'metagenomics', 'natural organic matter', 'metaproteomics', 'metabolomics']","['gold:Gb0157195', 'gold:Gb0158503']","{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:48:11Z'}",heat stress treatment [MCO:0000172],
nmdc:bsm-11-ha179016,nmdc:Biosample,Inc-BW-H-26-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],heat stressed soil [ENVO:00005781],Inc-BW-H-26-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157176'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:48:43Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-wbztyp16']
nmdc:bsm-11-hebdaz02,nmdc:Biosample,Inc-BW-C-14-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],forest soil [ENVO:00002261],Inc-BW-C-14-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157174'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:48:43Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-4rx1wt74']
nmdc:bsm-11-ncyddq48,nmdc:Biosample,Inc-BW-C-7-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],forest soil [ENVO:00002261],Inc-BW-C-7-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157178'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T17:08:27Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-t0w76k96']
nmdc:bsm-11-nq2tfm26,nmdc:Biosample,BW-H-4-M,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],mineral horizon [ENVO:03600011],heat stressed soil [ENVO:00005781],BW-H-4-M,2017-05-24,.02 -.10,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",field_incubation,42.481016 -72.178343,-80 Celsius,Mineral soil,frozen,"['metatranscriptomics', 'metagenomics', 'natural organic matter', 'metaproteomics', 'metabolomics', 'lipidomics']","['gold:Gb0157199', 'gold:Gb0158499']","{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T17:08:27Z'}",heat stress treatment [MCO:0000172],
nmdc:bsm-11-ssfs1051,nmdc:Biosample,Inc-BW-C-4-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],forest soil [ENVO:00002261],Inc-BW-C-4-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157189'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T17:02:48Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-7qaw2x10']
nmdc:bsm-11-ve9a4g91,nmdc:Biosample,Inc-BW-H-28-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],heat stressed soil [ENVO:00005781],Inc-BW-H-28-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157180'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:54:03Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-gqrag830']
nmdc:bsm-11-wrvmh591,nmdc:Biosample,Inc-BW-H-32-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],heat stressed soil [ENVO:00005781],Inc-BW-H-32-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157177'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:54:41Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-k4wb6c34']
nmdc:bsm-11-xtz7he28,nmdc:Biosample,Inc-BW-H-17-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],heat stressed soil [ENVO:00005781],Inc-BW-H-17-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157187'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T17:00:06Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-fmvr0890']
nmdc:bsm-11-xxvfda22,nmdc:Biosample,BW-H-2-M,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],mineral horizon [ENVO:03600011],heat stressed soil [ENVO:00005781],BW-H-2-M,2017-05-24,.02 -.10,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",field_incubation,42.481016 -72.178343,-80 Celsius,Mineral soil,frozen,"['metatranscriptomics', 'metagenomics', 'natural organic matter', 'metaproteomics', 'metabolomics', 'lipidomics']","['gold:Gb0157175', 'gold:Gb0158483']","{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T17:00:06Z'}",heat stress treatment [MCO:0000172],
