env_local_scale,pathway_name,pathway_id,expr_sum
mineral horizon [ENVO:03600011],Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053],map01053,488.09090909090907
mineral horizon [ENVO:03600011],Biosynthesis of type II polyketide backbone [PATH:ko01056],map01056,47.333333333333336
mineral horizon [ENVO:03600011],Biosynthesis of type II polyketide products [PATH:ko01057],map01057,4942.727272727273
mineral horizon [ENVO:03600011],Biosynthesis of unsaturated fatty acids [PATH:ko01040],map01040,6392.545454545455
mineral horizon [ENVO:03600011],Biosynthesis of vancomycin group antibiotics [PATH:ko01055],map01055,2157.2727272727275
mineral horizon [ENVO:03600011],Biosynthesis of various alkaloids [PATH:ko00996],map00996,95.0
mineral horizon [ENVO:03600011],Biosynthesis of various antibiotics [PATH:ko00998],map00998,10964.09090909091
mineral horizon [ENVO:03600011],Biosynthesis of various nucleotide sugars [PATH:ko00541],map00541,30667.545454545456
mineral horizon [ENVO:03600011],Biosynthesis of various other secondary metabolites [PATH:ko00997],map00997,392.45454545454544
mineral horizon [ENVO:03600011],Biosynthesis of various plant secondary metabolites [PATH:ko00999],map00999,20476.272727272728
mineral horizon [ENVO:03600011],Biotin metabolism [PATH:ko00780],map00780,29277.18181818182
mineral horizon [ENVO:03600011],Bisphenol degradation [PATH:ko00363],map00363,655.1818181818181
mineral horizon [ENVO:03600011],Bladder cancer [PATH:ko05219],map05219,864.0
mineral horizon [ENVO:03600011],Brassinosteroid biosynthesis [PATH:ko00905],map00905,4.0
mineral horizon [ENVO:03600011],Breast cancer [PATH:ko05224],map05224,1639.1818181818182
mineral horizon [ENVO:03600011],Butanoate metabolism [PATH:ko00650],map00650,130753.90909090909
mineral horizon [ENVO:03600011],C-type lectin receptor signaling pathway [PATH:ko04625],map04625,1920.7272727272727
mineral horizon [ENVO:03600011],C5-Branched dibasic acid metabolism [PATH:ko00660],map00660,29623.0
mineral horizon [ENVO:03600011],CD molecules [BR:ko04090],map04090,1595.6363636363637
mineral horizon [ENVO:03600011],Caffeine metabolism [PATH:ko00232],map00232,388.3636363636364
mineral horizon [ENVO:03600011],Calcium signaling pathway [PATH:ko04020],map04020,2561.6363636363635
mineral horizon [ENVO:03600011],Caprolactam degradation [PATH:ko00930],map00930,11990.818181818182
mineral horizon [ENVO:03600011],Carbapenem biosynthesis [PATH:ko00332],map00332,1233.6363636363637
mineral horizon [ENVO:03600011],Carbohydrate digestion and absorption [PATH:ko04973],map04973,1845.4545454545455
mineral horizon [ENVO:03600011],Carbohydrate metabolism,map99981,3426.7272727272725
mineral horizon [ENVO:03600011],Carbon fixation by Calvin cycle [PATH:ko00710],map00710,49237.09090909091
mineral horizon [ENVO:03600011],Cardiac muscle contraction [PATH:ko04260],map04260,20144.090909090908
mineral horizon [ENVO:03600011],Carotenoid biosynthesis [PATH:ko00906],map00906,709.1818181818181
mineral horizon [ENVO:03600011],Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503],map01503,55868.545454545456
mineral horizon [ENVO:03600011],Cell adhesion molecules [BR:ko04515],map04515,83.54545454545455
mineral horizon [ENVO:03600011],Cell adhesion molecules [PATH:ko04514],map04514,62.3
mineral horizon [ENVO:03600011],Cell cycle - Caulobacter [PATH:ko04112],map04112,144976.36363636365
mineral horizon [ENVO:03600011],Cell cycle - yeast [PATH:ko04111],map04111,2975.0
mineral horizon [ENVO:03600011],Cell cycle [PATH:ko04110],map04110,2804.4545454545455
mineral horizon [ENVO:03600011],Cell growth,map99978,7520.272727272727
mineral horizon [ENVO:03600011],Cell motility,map99993,1558.1818181818182
mineral horizon [ENVO:03600011],Cellular senescence [PATH:ko04218],map04218,3457.090909090909
mineral horizon [ENVO:03600011],Central carbon metabolism in cancer [PATH:ko05230],map05230,16034.0
mineral horizon [ENVO:03600011],Chagas disease [PATH:ko05142],map05142,2840.818181818182
mineral horizon [ENVO:03600011],Chaperones and folding catalysts [BR:ko03110],map03110,355321.54545454547
mineral horizon [ENVO:03600011],Chemical carcinogenesis - DNA adducts [PATH:ko05204],map05204,8495.09090909091
mineral horizon [ENVO:03600011],Chemical carcinogenesis - reactive oxygen species [PATH:ko05208],map05208,63601.181818181816
mineral horizon [ENVO:03600011],Chemical carcinogenesis - receptor activation [PATH:ko05207],map05207,13156.454545454546
mineral horizon [ENVO:03600011],Chemokine signaling pathway [PATH:ko04062],map04062,3758.818181818182
mineral horizon [ENVO:03600011],Chloroalkane and chloroalkene degradation [PATH:ko00625],map00625,40276.0
mineral horizon [ENVO:03600011],Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361],map00361,20028.454545454544
mineral horizon [ENVO:03600011],Cholesterol metabolism [PATH:ko04979],map04979,383.90909090909093
mineral horizon [ENVO:03600011],Choline metabolism in cancer [PATH:ko05231],map05231,3318.5454545454545
mineral horizon [ENVO:03600011],Cholinergic synapse [PATH:ko04725],map04725,1577.2727272727273
mineral horizon [ENVO:03600011],Chromosome and associated proteins [BR:ko03036],map03036,155343.18181818182
mineral horizon [ENVO:03600011],Chronic myeloid leukemia [PATH:ko05220],map05220,1167.0
mineral horizon [ENVO:03600011],Cilium and associated proteins [BR:ko03037],map03037,1472.909090909091
mineral horizon [ENVO:03600011],Circadian entrainment [PATH:ko04713],map04713,1644.2727272727273
mineral horizon [ENVO:03600011],Circadian rhythm - fly [PATH:ko04711],map04711,226.1818181818182
mineral horizon [ENVO:03600011],Circadian rhythm - plant [PATH:ko04712],map04712,127.27272727272727
mineral horizon [ENVO:03600011],Circadian rhythm [PATH:ko04710],map04710,698.0909090909091
mineral horizon [ENVO:03600011],Citrate cycle (TCA cycle) [PATH:ko00020],map00020,95328.54545454546
mineral horizon [ENVO:03600011],Clavulanic acid biosynthesis [PATH:ko00331],map00331,2.0
mineral horizon [ENVO:03600011],Cobalamin transport and metabolism [PATH:ko04980],map04980,6508.818181818182
mineral horizon [ENVO:03600011],Cocaine addiction [PATH:ko05030],map05030,1000.5454545454545
mineral horizon [ENVO:03600011],Cofactor metabolism,map99987,1355.3636363636363
mineral horizon [ENVO:03600011],Collecting duct acid secretion [PATH:ko04966],map04966,901.5454545454545
mineral horizon [ENVO:03600011],Colorectal cancer [PATH:ko05210],map05210,6667.636363636364
mineral horizon [ENVO:03600011],Complement and coagulation cascades [PATH:ko04610],map04610,9.75
mineral horizon [ENVO:03600011],Coronavirus disease - COVID-19 [PATH:ko05171],map05171,18839.18181818182
mineral horizon [ENVO:03600011],Cortisol synthesis and secretion [PATH:ko04927],map04927,80.45454545454545
mineral horizon [ENVO:03600011],Cushing syndrome [PATH:ko04934],map04934,2910.181818181818
mineral horizon [ENVO:03600011],"Cutin, suberine and wax biosynthesis [PATH:ko00073]",map00073,929.2727272727273
mineral horizon [ENVO:03600011],Cyanoamino acid metabolism [PATH:ko00460],map00460,12295.363636363636
mineral horizon [ENVO:03600011],Cysteine and methionine metabolism [PATH:ko00270],map00270,92463.27272727272
mineral horizon [ENVO:03600011],Cytochrome P450 [BR:ko00199],map00199,1663.7272727272727
mineral horizon [ENVO:03600011],Cytokine-cytokine receptor interaction [PATH:ko04060],map04060,11.2
mineral horizon [ENVO:03600011],Cytokines and neuropeptides [BR:ko04052],map04052,202.8181818181818
mineral horizon [ENVO:03600011],Cytoskeleton in muscle cells [PATH:ko04820],map04820,5923.636363636364
mineral horizon [ENVO:03600011],Cytoskeleton proteins [BR:ko04812],map04812,38373.818181818184
mineral horizon [ENVO:03600011],Cytosolic DNA-sensing pathway [PATH:ko04623],map04623,308.1818181818182
mineral horizon [ENVO:03600011],D-Amino acid metabolism [PATH:ko00470],map00470,8586.363636363636
mineral horizon [ENVO:03600011],DNA repair and recombination proteins [BR:ko03400],map03400,310910.0909090909
mineral horizon [ENVO:03600011],DNA replication [PATH:ko03030],map03030,22132.909090909092
mineral horizon [ENVO:03600011],DNA replication proteins [BR:ko03032],map03032,92821.09090909091
mineral horizon [ENVO:03600011],Degradation of flavonoids [PATH:ko00946],map00946,3858.909090909091
mineral horizon [ENVO:03600011],Diabetic cardiomyopathy [PATH:ko05415],map05415,57700.0
mineral horizon [ENVO:03600011],Dilated cardiomyopathy [PATH:ko05414],map05414,2073.7272727272725
mineral horizon [ENVO:03600011],Dioxin degradation [PATH:ko00621],map00621,2488.5454545454545
mineral horizon [ENVO:03600011],Diterpenoid biosynthesis [PATH:ko00904],map00904,10.333333333333334
mineral horizon [ENVO:03600011],Domain-containing proteins not elsewhere classified [BR:ko04990],map04990,1671.0
mineral horizon [ENVO:03600011],Dopaminergic synapse [PATH:ko04728],map04728,2803.4545454545455
mineral horizon [ENVO:03600011],Dorso-ventral axis formation [PATH:ko04320],map04320,1145.3636363636363
mineral horizon [ENVO:03600011],Drug metabolism - cytochrome P450 [PATH:ko00982],map00982,16047.181818181818
mineral horizon [ENVO:03600011],Drug metabolism - other enzymes [PATH:ko00983],map00983,35652.27272727273
mineral horizon [ENVO:03600011],ECM-receptor interaction [PATH:ko04512],map04512,273.09090909090907
mineral horizon [ENVO:03600011],EGFR tyrosine kinase inhibitor resistance [PATH:ko01521],map01521,1957.5454545454545
mineral horizon [ENVO:03600011],Efferocytosis [PATH:ko04148],map04148,10084.545454545454
mineral horizon [ENVO:03600011],Endocrine and other factor-regulated calcium reabsorption [PATH:ko04961],map04961,1445.5454545454545
mineral horizon [ENVO:03600011],Endocrine resistance [PATH:ko01522],map01522,1435.7272727272727
mineral horizon [ENVO:03600011],Endocytosis [PATH:ko04144],map04144,6706.909090909091
mineral horizon [ENVO:03600011],Endometrial cancer [PATH:ko05213],map05213,1398.909090909091
mineral horizon [ENVO:03600011],Energy metabolism,map99982,20616.18181818182
mineral horizon [ENVO:03600011],Enzymes with EC numbers,map99980,345150.63636363635
mineral horizon [ENVO:03600011],Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120],map05120,3573.5454545454545
mineral horizon [ENVO:03600011],Epstein-Barr virus infection [PATH:ko05169],map05169,6749.090909090909
mineral horizon [ENVO:03600011],ErbB signaling pathway [PATH:ko04012],map04012,1638.8181818181818
mineral horizon [ENVO:03600011],Estrogen signaling pathway [PATH:ko04915],map04915,8026.818181818182
mineral horizon [ENVO:03600011],Ether lipid metabolism [PATH:ko00565],map00565,4045.2727272727275
mineral horizon [ENVO:03600011],Ethylbenzene degradation [PATH:ko00642],map00642,4277.090909090909
mineral horizon [ENVO:03600011],Exopolysaccharide biosynthesis [PATH:ko00543],map00543,11832.727272727272
mineral horizon [ENVO:03600011],Exosome [BR:ko04147],map04147,295153.0909090909
mineral horizon [ENVO:03600011],Fanconi anemia pathway [PATH:ko03460],map03460,335.09090909090907
mineral horizon [ENVO:03600011],Fat digestion and absorption [PATH:ko04975],map04975,10994.90909090909
mineral horizon [ENVO:03600011],Fatty acid biosynthesis [PATH:ko00061],map00061,57632.454545454544
mineral horizon [ENVO:03600011],Fatty acid degradation [PATH:ko00071],map00071,59201.72727272727
mineral horizon [ENVO:03600011],Fatty acid elongation [PATH:ko00062],map00062,499.90909090909093
mineral horizon [ENVO:03600011],Fc epsilon RI signaling pathway [PATH:ko04664],map04664,2503.7272727272725
mineral horizon [ENVO:03600011],Fc gamma R-mediated phagocytosis [PATH:ko04666],map04666,3954.0
mineral horizon [ENVO:03600011],Ferroptosis [PATH:ko04216],map04216,11023.454545454546
mineral horizon [ENVO:03600011],Flagellar assembly [PATH:ko02040],map02040,79913.45454545454
