pathway_id,pathway_name,p_value,n_samples,q_value
map01009,Protein phosphatases and associated proteins [BR:ko01009],0.4607708905522918,24,0.517525551392762
map01011,Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],0.4607708905522918,24,0.5186082408308221
map01040,Biosynthesis of unsaturated fatty acids [PATH:ko01040],0.4607708905522918,24,0.5196954698472389
map01051,Biosynthesis of ansamycins [PATH:ko01051],0.4607708905522918,24,0.5207872670528004
map03011,Ribosome [BR:ko03011],0.4607708905522918,24,0.5218836612992274
map03013,Nucleocytoplasmic transport [PATH:ko03013],0.4607708905522918,24,0.5229846816817152
map00941,Flavonoid biosynthesis [PATH:ko00941],0.4607708905522918,24,0.5240903575415073
map04052,Cytokines and neuropeptides [BR:ko04052],0.4607708905522918,24,0.5252007184685021
map04010,MAPK signaling pathway [PATH:ko04010],0.4607708905522918,24,0.5263157943038916
map04011,MAPK signaling pathway - yeast [PATH:ko04011],0.4607708905522918,24,0.5274356151428361
map04012,ErbB signaling pathway [PATH:ko04012],0.4607708905522918,24,0.5285602113371706
map04013,MAPK signaling pathway - fly [PATH:ko04013],0.4607708905522918,24,0.5296896134981474
map04014,Ras signaling pathway [PATH:ko04014],0.4607708905522918,24,0.5308238524992142
map04015,Rap1 signaling pathway [PATH:ko04015],0.4607708905522918,24,0.5319629594788261
map04016,MAPK signaling pathway - plant [PATH:ko04016],0.4607708905522918,24,0.5331069658432968
map04020,Calcium signaling pathway [PATH:ko04020],0.4607708905522918,24,0.5342559032696832
map04022,cGMP-PKG signaling pathway [PATH:ko04022],0.4607708905522918,24,0.5354098037087105
map04024,cAMP signaling pathway [PATH:ko04024],0.4607708905522918,24,0.5365686993877338
map04030,G protein-coupled receptors [BR:ko04030],0.4607708905522918,24,0.5377326228137375
map04031,GTP-binding proteins [BR:ko04031],0.4607708905522918,24,0.5389016067763761
map04040,Ion channels [BR:ko04040],0.4607708905522918,24,0.5400756843510522
map04062,Chemokine signaling pathway [PATH:ko04062],0.4607708905522918,24,0.5412548889020371
map03015,mRNA surveillance pathway [PATH:ko03015],0.4607708905522918,24,0.5424392540856302
map99998,Others,0.4607708905522918,24,0.5436288138533618
map04066,HIF-1 signaling pathway [PATH:ko04066],0.4607708905522918,24,0.5448236024552373
map04068,FoxO signaling pathway [PATH:ko04068],0.4607708905522918,24,0.5460236544430241
map04070,Phosphatidylinositol signaling system [PATH:ko04070],0.4607708905522918,24,0.5472290046735827
map04071,Sphingolipid signaling pathway [PATH:ko04071],0.4607708905522918,24,0.5484396883122411
map04072,Phospholipase D signaling pathway [PATH:ko04072],0.4607708905522918,24,0.549655740836215
map04075,Plant hormone signal transduction [PATH:ko04075],0.4607708905522918,24,0.5508771980380733
map04081,Hormone signaling [PATH:ko04081],0.4607708905522918,24,0.5521040960292494
map04090,CD molecules [BR:ko04090],0.4607708905522918,24,0.5533364712436004
map04091,Lectins [BR:ko04091],0.4607708905522918,24,0.5545743604410134
map04110,Cell cycle [PATH:ko04110],0.4607708905522918,24,0.5558178007110605
map04111,Cell cycle - yeast [PATH:ko04111],0.4607708905522918,24,0.5570668294767034
map04112,Cell cycle - Caulobacter [PATH:ko04112],0.4607708905522918,24,0.5583214844980473
map03460,Fanconi anemia pathway [PATH:ko03460],0.4607708905522918,24,0.5595818038761466
map03450,Non-homologous end-joining [PATH:ko03450],0.4607708905522918,24,0.560847826056862
map03440,Homologous recombination [PATH:ko03440],0.4607708905522918,24,0.5621195898347687
map03430,Mismatch repair [PATH:ko03430],0.4607708905522918,24,0.5633971343571205
map03016,Transfer RNA biogenesis [BR:ko03016],0.4607708905522918,24,0.5646804991278656
map03018,RNA degradation [PATH:ko03018],0.4607708905522918,24,0.5659697240117192
map03019,Messenger RNA biogenesis [BR:ko03019],0.4607708905522918,24,0.5672648492382906
map03020,RNA polymerase [PATH:ko03020],0.4607708905522918,24,0.5685659154062683
map03021,Transcription machinery [BR:ko03021],0.4607708905522918,24,0.569872963487662
map03022,Basal transcription factors [PATH:ko03022],0.4607708905522918,24,0.5711860348321036
map03029,Mitochondrial biogenesis [BR:ko03029],0.4607708905522918,24,0.5725051711712078
map03030,DNA replication [PATH:ko03030],0.4607708905522918,24,0.573830414622993
map03032,DNA replication proteins [BR:ko03032],0.4607708905522918,24,0.5751618076963643
map03036,Chromosome and associated proteins [BR:ko03036],0.4607708905522918,24,0.5764993932956581
map03037,Cilium and associated proteins [BR:ko03037],0.4607708905522918,24,0.5778432147252517
map03040,Spliceosome [PATH:ko03040],0.4607708905522918,24,0.5791933156942359
map03041,Spliceosome [BR:ko03041],0.4607708905522918,24,0.5805497403211546
map03050,Proteasome [PATH:ko03050],0.4607708905522918,24,0.5819125331388099
map03051,Proteasome [BR:ko03051],0.4607708905522918,24,0.5832817390991364
map03060,Protein export [PATH:ko03060],0.4607708905522918,24,0.5846574035781439
map03070,Bacterial secretion system [PATH:ko03070],0.4607708905522918,24,0.5860395723809291
map03082,ATP-dependent chromatin remodeling [PATH:ko03082],0.4607708905522918,24,0.5874282917467606
map03083,Polycomb repressive complex [PATH:ko03083],0.4607708905522918,24,0.5888236083542351
map03110,Chaperones and folding catalysts [BR:ko03110],0.4607708905522918,24,0.5902255693265072
map03250,Viral life cycle - HIV-1 [PATH:ko03250],0.4607708905522918,24,0.5916342222365942
map03266,Virion - Herpesvirus [PATH:ko03266],0.4607708905522918,24,0.5930496151127583
map03273,Virion - Lassa virus and SFTS virus [PATH:ko03273],0.4607708905522918,24,0.594471796443964
map03320,PPAR signaling pathway [PATH:ko03320],0.4607708905522918,24,0.5959008151854158
map03400,DNA repair and recombination proteins [BR:ko03400],0.4607708905522918,24,0.5973367207641759
map03410,Base excision repair [PATH:ko03410],0.4607708905522918,24,0.5987795630848622
map03420,Nucleotide excision repair [PATH:ko03420],0.4607708905522918,24,0.600229392535431
map00943,Isoflavonoid biosynthesis [PATH:ko00943],0.4607708905522918,24,0.6016862599930413
map00940,Phenylpropanoid biosynthesis [PATH:ko00940],0.4607708905522918,24,0.6031502168300072
map04114,Oocyte meiosis [PATH:ko04114],0.4607708905522918,24,0.6046213149198365
map00380,Tryptophan metabolism [PATH:ko00380],0.4607708905522918,24,0.6060996066433569
map00310,Lysine degradation [PATH:ko00310],0.4607708905522918,24,0.6075851448949338
map00311,Penicillin and cephalosporin biosynthesis [PATH:ko00311],0.4607708905522918,24,0.6090779830887788
map00330,Arginine and proline metabolism [PATH:ko00330],0.4607708905522918,24,0.6105781751653522
map00332,Carbapenem biosynthesis [PATH:ko00332],0.4607708905522918,24,0.6120857755978593
map00333,Prodigiosin biosynthesis [PATH:ko00333],0.4607708905522918,24,0.613600839398844
map00340,Histidine metabolism [PATH:ko00340],0.4607708905522918,24,0.6151234221268809
map00350,Tyrosine metabolism [PATH:ko00350],0.4607708905522918,24,0.6166535798933657
map00360,Phenylalanine metabolism [PATH:ko00360],0.4607708905522918,24,0.618191369369409
map00361,Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361],0.4607708905522918,24,0.6197368477928324
map00362,Benzoate degradation [PATH:ko00362],0.4607708905522918,24,0.6212900729752706
map00363,Bisphenol degradation [PATH:ko00363],0.4607708905522918,24,0.6228511033093793
map00364,Fluorobenzoate degradation [PATH:ko00364],0.4607708905522918,24,0.6244199977761536
map00365,Furfural degradation [PATH:ko00365],0.4607708905522918,24,0.625996815952356
map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]",0.4607708905522918,24,0.6275816180180582
map00290,"Valine, leucine and isoleucine biosynthesis [PATH:ko00290]",0.4607708905522918,24,0.629174464764297
map00401,Novobiocin biosynthesis [PATH:ko00401],0.4607708905522918,24,0.6307754176008473
map00405,Phenazine biosynthesis [PATH:ko00405],0.4607708905522918,24,0.6323845385641148
map00410,beta-Alanine metabolism [PATH:ko00410],0.4607708905522918,24,0.6340018903251483
map00430,Taurine and hypotaurine metabolism [PATH:ko00430],0.4607708905522918,24,0.6356275361977769
map00440,Phosphonate and phosphinate metabolism [PATH:ko00440],0.4607708905522918,24,0.6372615401468714
map00450,Selenocompound metabolism [PATH:ko00450],0.4607708905522918,24,0.6389039667967344
map00460,Cyanoamino acid metabolism [PATH:ko00460],0.4607708905522918,24,0.6405548814396201
map00470,D-Amino acid metabolism [PATH:ko00470],0.4607708905522918,24,0.642214350044386
map00480,Glutathione metabolism [PATH:ko00480],0.4607708905522918,24,0.6438824392652804
map00500,Starch and sucrose metabolism [PATH:ko00500],0.4607708905522918,24,0.6455592164508671
map00510,N-Glycan biosynthesis [PATH:ko00510],0.4607708905522918,24,0.6472447496530888
map00511,Other glycan degradation [PATH:ko00511],0.4607708905522918,24,0.6489391076364738
map00513,Various types of N-glycan biosynthesis [PATH:ko00513],0.4607708905522918,24,0.6506423598874882
map00300,Lysine biosynthesis [PATH:ko00300],0.4607708905522918,24,0.6523545766240342
map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",0.4607708905522918,24,0.6540758288051002
map00920,Sulfur metabolism [PATH:ko00920],0.4607708905522918,24,0.6558061881405635
map00130,Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],0.4607708905522918,24,0.6575457271011484
map00020,Citrate cycle (TCA cycle) [PATH:ko00020],0.4607708905522918,24,0.6592945189285452
map00030,Pentose phosphate pathway [PATH:ko00030],0.4607708905522918,24,0.661052637645688
map00040,Pentose and glucuronate interconversions [PATH:ko00040],0.4607708905522918,24,0.6628201580672005
map00051,Fructose and mannose metabolism [PATH:ko00051],0.4607708905522918,24,0.664597155810008
map00052,Galactose metabolism [PATH:ko00052],0.4607708905522918,24,0.6663837073041209
map00053,Ascorbate and aldarate metabolism [PATH:ko00053],0.4607708905522918,24,0.668179889803593
map00061,Fatty acid biosynthesis [PATH:ko00061],0.4607708905522918,24,0.6699857813976567
map00062,Fatty acid elongation [PATH:ko00062],0.4607708905522918,24,0.6718014610220406
map00071,Fatty acid degradation [PATH:ko00071],0.4607708905522918,24,0.6736270084704701
map00073,"Cutin, suberine and wax biosynthesis [PATH:ko00073]",0.4607708905522918,24,0.6754625044063569
map00074,Mycolic acid biosynthesis [PATH:ko00074],0.4607708905522918,24,0.6773080303746802
map00100,Steroid biosynthesis [PATH:ko00100],0.4607708905522918,24,0.679163668814063
map00120,Primary bile acid biosynthesis [PATH:ko00120],0.4607708905522918,24,0.6810295030690466
map00140,Steroid hormone biosynthesis [PATH:ko00140],0.4607708905522918,24,0.6829056174025702
map00270,Cysteine and methionine metabolism [PATH:ko00270],0.4607708905522918,24,0.6847920970086546
map00190,Oxidative phosphorylation [PATH:ko00190],0.4607708905522918,24,0.6866890280252991
map00194,Photosynthesis proteins [BR:ko00194],0.4607708905522918,24,0.6885964975475917
map00195,Photosynthesis [PATH:ko00195],0.4607708905522918,24,0.690514593641039
map00199,Cytochrome P450 [BR:ko00199],0.4607708905522918,24,0.6924434053551201
map00220,Arginine biosynthesis [PATH:ko00220],0.4607708905522918,24,0.6943830227370672
map00230,Purine metabolism [PATH:ko00230],0.4607708905522918,24,0.6963335368458792
map00232,Caffeine metabolism [PATH:ko00232],0.4607708905522918,24,0.6982950397665718
map00240,Pyrimidine metabolism [PATH:ko00240],0.4607708905522918,24,0.7002676246246694
map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",0.4607708905522918,24,0.7022513856009434
map00253,Tetracycline biosynthesis [PATH:ko00253],0.4607708905522918,24,0.7042464179464005
map00254,Aflatoxin biosynthesis [PATH:ko00254],0.4607708905522918,24,0.7062528179975299
map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]",0.4607708905522918,24,0.7082706831918085
map00261,Monobactam biosynthesis [PATH:ko00261],0.4607708905522918,24,0.7103001120834757
map00514,Other types of O-glycan biosynthesis [PATH:ko00514],0.4607708905522918,24,0.7123412043595776
map00515,Mannose type O-glycan biosynthesis [PATH:ko00515],0.4607708905522918,24,0.714394060856291
map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520],0.4607708905522918,24,0.7164587835755288
map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760],0.4607708905522918,24,0.7185354757018347
map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],0.4607708905522918,24,0.7206242416195726
map00633,Nitrotoluene degradation [PATH:ko00633],0.4607708905522918,24,0.7227251869304169
map00640,Propanoate metabolism [PATH:ko00640],0.4607708905522918,24,0.724838418471149
map00642,Ethylbenzene degradation [PATH:ko00642],0.4607708905522918,24,0.7269640443317683
map00650,Butanoate metabolism [PATH:ko00650],0.4607708905522918,24,0.7291021738739205
map00660,C5-Branched dibasic acid metabolism [PATH:ko00660],0.4607708905522918,24,0.7312529177496548
map00670,One carbon pool by folate [PATH:ko00670],0.4607708905522918,24,0.7334163879205118
map00680,Methane metabolism [PATH:ko00680],0.4607708905522918,24,0.7355926976769525
map00710,Carbon fixation by Calvin cycle [PATH:ko00710],0.4607708905522918,24,0.7377819616581339
map00720,Other carbon fixation pathways [PATH:ko00720],0.4607708905522918,24,0.7399842958720387
map00730,Thiamine metabolism [PATH:ko00730],0.4607708905522918,24,0.742199817715967
map00740,Riboflavin metabolism [PATH:ko00740],0.4607708905522918,24,0.7444286459973963
map00750,Vitamin B6 metabolism [PATH:ko00750],0.4607708905522918,24,0.7466709009552198
map00770,Pantothenate and CoA biosynthesis [PATH:ko00770],0.4607708905522918,24,0.7489267042813685
map00521,Streptomycin biosynthesis [PATH:ko00521],0.4607708905522918,24,0.7511961791428272
map00780,Biotin metabolism [PATH:ko00780],0.4607708905522918,24,0.7534794502040516
map00785,Lipoic acid metabolism [PATH:ko00785],0.4607708905522918,24,0.7557766436497957
map00790,Folate biosynthesis [PATH:ko00790],0.4607708905522918,24,0.7580878872083577
map00791,Atrazine degradation [PATH:ko00791],0.4607708905522918,24,0.7604133101752546
map00830,Retinol metabolism [PATH:ko00830],0.4607708905522918,24,0.7627530434373323
map00860,Porphyrin metabolism [PATH:ko00860],0.4607708905522918,24,0.7651072194973241
map00900,Terpenoid backbone biosynthesis [PATH:ko00900],0.4607708905522918,24,0.7674759724988637
map00901,Indole alkaloid biosynthesis [PATH:ko00901],0.4607708905522918,24,0.7698594382519658
map00903,Limonene degradation [PATH:ko00903],0.4607708905522918,24,0.7722577542589812
map00907,"Pinene, camphor and geraniol degradation [PATH:ko00907]",0.4607708905522918,24,0.7746710597410406
map00908,Zeatin biosynthesis [PATH:ko00908],0.4607708905522918,24,0.7770994956649937
map00909,Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909],0.4607708905522918,24,0.7795432047708585
map00910,Nitrogen metabolism [PATH:ko00910],0.4607708905522918,24,0.7820023315997886
map00627,Aminobenzoate degradation [PATH:ko00627],0.4607708905522918,24,0.7844770225225728
map00626,Naphthalene degradation [PATH:ko00626],0.4607708905522918,24,0.7869674257686762
map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625],0.4607708905522918,24,0.7894736914558376
map00624,Polycyclic aromatic hydrocarbon degradation [PATH:ko00624],0.4607708905522918,24,0.7919959716202332
map00523,Polyketide sugar unit biosynthesis [PATH:ko00523],0.4607708905522918,24,0.7945344202472211
map00524,"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]",0.4607708905522918,24,0.7970891933026784
map00525,Acarbose and validamycin biosynthesis [PATH:ko00525],0.4607708905522918,24,0.7996604487649451
map00531,Glycosaminoglycan degradation [PATH:ko00531],0.4607708905522918,24,0.8022483466573883
map00536,Glycosaminoglycan binding proteins [BR:ko00536],0.4607708905522918,24,0.8048530490816006
map00537,Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537],0.4607708905522918,24,0.8074747202512476
map00540,Lipopolysaccharide biosynthesis [PATH:ko00540],0.4607708905522918,24,0.8101135265265784
map00541,Biosynthesis of various nucleotide sugars [PATH:ko00541],0.4607708905522918,24,0.8127696364496163
map00542,O-Antigen repeat unit biosynthesis [PATH:ko00542],0.4607708905522918,24,0.8154432207800427
map00543,Exopolysaccharide biosynthesis [PATH:ko00543],0.4607708905522918,24,0.8181344525317921
map00550,Peptidoglycan biosynthesis [PATH:ko00550],0.4607708905522918,24,0.8208435070103741
map00552,Teichoic acid biosynthesis [PATH:ko00552],0.4607708905522918,24,0.8235705618509401
map00561,Glycerolipid metabolism [PATH:ko00561],0.4607708905522918,24,0.82631579705711
map00562,Inositol phosphate metabolism [PATH:ko00562],0.4607708905522918,24,0.8290793950405786
map00564,Glycerophospholipid metabolism [PATH:ko00564],0.4607708905522918,24,0.8318615406615201
map00565,Ether lipid metabolism [PATH:ko00565],0.4607708905522918,24,0.834662421269808
map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571],0.4607708905522918,24,0.8374822267470708
map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572],0.4607708905522918,24,0.8403211495496034
map00590,Arachidonic acid metabolism [PATH:ko00590],0.4607708905522918,24,0.843179384752153
map00591,Linoleic acid metabolism [PATH:ko00591],0.4607708905522918,24,0.8460571300926041
map00592,alpha-Linolenic acid metabolism [PATH:ko00592],0.4607708905522918,24,0.8489545860175787
map00600,Sphingolipid metabolism [PATH:ko00600],0.4607708905522918,24,0.8518719557289793
map00603,Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603],0.4607708905522918,24,0.854809445231493
map00620,Pyruvate metabolism [PATH:ko00620],0.4607708905522918,24,0.857767263381083
map00621,Dioxin degradation [PATH:ko00621],0.4607708905522918,24,0.8607456219344896
map00622,Xylene degradation [PATH:ko00622],0.4607708905522918,24,0.8637447355997665
map00623,Toluene degradation [PATH:ko00623],0.4607708905522918,24,0.8667648220878775
map04113,Meiosis - yeast [PATH:ko04113],0.4607708905522918,24,0.8698061021653789
map04064,NF-kappa B signaling pathway [PATH:ko04064],0.4607708905522918,24,0.8728687997082147
map04115,p53 signaling pathway [PATH:ko04115],0.4607708905522918,24,0.8759531417566536
map05130,Pathogenic Escherichia coli infection [PATH:ko05130],0.4607708905522918,24,0.8790593585713936
map05014,Amyotrophic lateral sclerosis [PATH:ko05014],0.4607708905522918,24,0.8821876836908648
map05016,Huntington disease [PATH:ko05016],0.4607708905522918,24,0.8853383539897607
map05017,Spinocerebellar ataxia [PATH:ko05017],0.4607708905522918,24,0.8885116097388279
map05020,Prion disease [PATH:ko05020],0.4607708905522918,24,0.891707694665946
map05022,Pathways of neurodegeneration - multiple diseases [PATH:ko05022],0.4607708905522918,24,0.8949268560185306
map05030,Cocaine addiction [PATH:ko05030],0.4607708905522918,24,0.8981693446272935
map05031,Amphetamine addiction [PATH:ko05031],0.4607708905522918,24,0.9014354149713927
map05032,Morphine addiction [PATH:ko05032],0.4607708905522918,24,0.9047253252450109
map05034,Alcoholism [PATH:ko05034],0.4607708905522918,24,0.9080393374253956
map05100,Bacterial invasion of epithelial cells [PATH:ko05100],0.4607708905522918,24,0.9113777173424007
map05110,Vibrio cholerae infection [PATH:ko05110],0.4607708905522918,24,0.9147407347495682
map05111,Biofilm formation - Vibrio cholerae [PATH:ko05111],0.4607708905522918,24,0.9181286633967888
map05120,Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120],0.4607708905522918,24,0.9215417811045836
map05131,Shigellosis [PATH:ko05131],0.4607708905522918,24,0.9249803698400485
map05010,Alzheimer disease [PATH:ko05010],0.4607708905522918,24,0.9284447157945056
map05132,Salmonella infection [PATH:ko05132],0.4607708905522918,24,0.9319351094629059
map05133,Pertussis [PATH:ko05133],0.4607708905522918,24,0.9354518457250302
map05134,Legionellosis [PATH:ko05134],0.4607708905522918,24,0.9389952239285341
map05135,Yersinia infection [PATH:ko05135],0.4607708905522918,24,0.9425655479738897
map05140,Leishmaniasis [PATH:ko05140],0.4607708905522918,24,0.946163126401271
map05142,Chagas disease [PATH:ko05142],0.4607708905522918,24,0.9497882724794368
map05143,African trypanosomiasis [PATH:ko05143],0.4607708905522918,24,0.9534413042966653
map05145,Toxoplasmosis [PATH:ko05145],0.4607708905522918,24,0.9571225448537953
map05146,Amoebiasis [PATH:ko05146],0.4607708905522918,24,0.9608323221594302
map05152,Tuberculosis [PATH:ko05152],0.4607708905522918,24,0.9645709693273657
map05160,Hepatitis C [PATH:ko05160],0.4607708905522918,24,0.9683388246763007
map05161,Hepatitis B [PATH:ko05161],0.4607708905522918,24,0.972136231831894
map05162,Measles [PATH:ko05162],0.4607708905522918,24,0.9759635398312322
map05012,Parkinson disease [PATH:ko05012],0.4607708905522918,24,0.9798211032297747
map04990,Domain-containing proteins not elsewhere classified [BR:ko04990],0.4607708905522918,24,0.9837092822108452
map04922,Glucagon signaling pathway [PATH:ko04922],0.4607708905522918,24,0.987628442697741
map04960,Aldosterone-regulated sodium reabsorption [PATH:ko04960],0.4607708905522918,24,0.9915789564685319
map04924,Renin secretion [PATH:ko04924],0.4607708905522918,24,0.9955612012736265
