biosample_id,taxon,count
nmdc:bsm-11-3p2mnz08,Acidobacteriota,1095773
nmdc:bsm-11-3p2mnz08,Actinomycetota,1171264
nmdc:bsm-11-3p2mnz08,Annelida,117
nmdc:bsm-11-3p2mnz08,Apicomplexa,148
nmdc:bsm-11-3p2mnz08,Aquificota,1394
nmdc:bsm-11-3p2mnz08,Armatimonadota,8120
nmdc:bsm-11-3p2mnz08,Arthropoda,607
nmdc:bsm-11-3p2mnz08,Artverviricota,5
nmdc:bsm-11-3p2mnz08,Ascomycota,21273
nmdc:bsm-11-3p2mnz08,Atribacterota,537
nmdc:bsm-11-3p2mnz08,Bacillariophyta,31
nmdc:bsm-11-3p2mnz08,Bacillota,68059
nmdc:bsm-11-3p2mnz08,Bacteroidota,334968
nmdc:bsm-11-3p2mnz08,Balneolota,1633
nmdc:bsm-11-3p2mnz08,Basidiomycota,29282
nmdc:bsm-11-3p2mnz08,Bdellovibrionota,2631
nmdc:bsm-11-3p2mnz08,Blastocladiomycota,34
nmdc:bsm-11-3p2mnz08,Caldisericota,77
nmdc:bsm-11-3p2mnz08,Calditrichota,520
nmdc:bsm-11-3p2mnz08,Campylobacterota,1320
nmdc:bsm-11-3p2mnz08,Candidatus Absconditabacteria,3
nmdc:bsm-11-3p2mnz08,Candidatus Aerophobetes,377
nmdc:bsm-11-3p2mnz08,Candidatus Aminicenantes,1333
nmdc:bsm-11-3p2mnz08,Candidatus Bathyarchaeota,199
nmdc:bsm-11-3p2mnz08,Candidatus Berkelbacteria,42
nmdc:bsm-11-3p2mnz08,Candidatus Bipolaricaulota,80
nmdc:bsm-11-3p2mnz08,Candidatus Calescamantes,158
nmdc:bsm-11-3p2mnz08,Candidatus Cloacimonadota,182
nmdc:bsm-11-3p2mnz08,Candidatus Cryosericota,136
nmdc:bsm-11-3p2mnz08,Candidatus Diapherotrites,38
nmdc:bsm-11-3p2mnz08,Candidatus Fervidibacteria,796
nmdc:bsm-11-3p2mnz08,Candidatus Gracilibacteria,24
