ko_id	pathway_id
K00234	map05012
K00234	map05208
K00234	map04932
K00234	map00020
K00234	map05415
K00235	map05020
K00235	map04714
K00235	map05022
K00235	map05010
K00235	map00190
K00235	map05014
K00235	map05016
K00235	map05012
K00235	map05208
K00235	map04932
K00235	map00020
K00235	map05415
K00236	map05020
K00236	map04714
K00236	map05022
K00236	map05010
K00236	map00190
K00236	map05014
K00236	map05016
K00236	map05012
K00236	map05208
K00236	map04932
K00236	map00020
K00236	map05415
K00237	map05020
K00237	map04714
K00237	map05022
K00237	map05010
K00237	map00190
K00237	map05014
K00237	map05016
K00237	map05012
K00237	map05208
K00237	map04932
K00237	map00020
K00237	map05415
K25801	map00020
K25801	map00190
K00239	map00650
K00239	map00720
K00239	map00190
K00239	map05134
K00239	map00020
K00240	map00650
K00240	map00020
K00240	map00720
K00240	map00190
K00241	map00650
K00241	map00020
K00241	map00720
K00241	map00190
K00242	map00650
K00242	map00020
K00242	map00720
K00242	map00190
K18859	map00650
K18859	map00020
K18859	map00720
K18859	map00190
K18860	map00650
K18860	map00020
K18860	map00720
K18860	map00190
K00244	map00650
K00244	map00620
K00244	map00720
K00244	map00190
K00244	map02020
K00244	map00020
K00245	map00650
K00245	map00620
K00245	map00720
K00245	map00190
K00245	map02020
K00245	map00020
K00246	map00650
K00246	map00620
K00246	map00720
K00246	map00190
K00246	map02020
K00246	map00020
K00247	map00650
K00247	map00620
K00247	map00720
K00247	map00190
K00247	map02020
K00247	map00020
K00233	map00650
K00233	map00620
K00233	map00720
K00233	map00190
K00233	map00020
K25995	map00650
K25995	map00620
K25995	map00720
K25995	map00190
K25995	map00020
K25996	map00650
K25996	map00620
K25996	map00720
K25996	map00190
K25996	map00020
K26318	map00620
K26318	map00020
K26318	map00650
K26318	map00720
K01676	map00620
K01676	map00020
K01676	map00720
K01677	map00620
K01677	map00020
K01677	map00720
K01678	map00620
K01678	map00020
K01678	map00720
K01679	map05211
K01679	map00620
K01679	map00720
K01679	map05200
K01679	map04934
K01679	map00020
K01675	map00620
K01675	map00020
K01675	map00720
K01774	map00620
K01774	map00020
K01774	map00720
K00025	map00270
K00025	map00620
K00025	map00710
K00025	map00630
K00025	map00020
K00025	map04964
K00026	map00270
K00026	map00620
K00026	map00710
K00026	map00630
K00026	map00020
K00024	map00270
K00024	map00620
K00024	map00720
K00024	map00680
K00024	map00710
K00024	map00630
K00024	map00020
K00116	map00620
K00116	map00020
K01958	map00620
K01958	map00020
K01958	map00720
K01959	map00620
K01959	map00020
K01959	map00720
K01960	map00620
K01960	map00020
K01960	map00720
K00036	map00030
K00036	map04147
K00036	map05230
K00036	map00480
K00036	map05415
K19243	map00030
K01057	map00030
K07404	map00030
K13937	map00030
K00033	map00030
K00033	map00480
K01783	map00040
K01783	map00030
K01783	map00710
K00615	map00030
K00615	map00710
K00615	map01051
K00616	map00030
K00616	map00710
K01807	map00030
K01807	map00710
K01808	map00030
K01808	map00051
K01808	map00710
K13812	map00680
K13812	map00030
K08093	map00680
K08093	map00030
K08094	map00680
K08094	map00030
K13831	map00680
K13831	map00030
K11214	map00030
K01621	map00030
K01619	map00030
K00852	map00030
K01839	map00030
K01839	map00230
K22199	map00030
K22199	map00230
K21056	map00030
K26208	map00030
K18237	map00030
K05774	map00030
K00948	map00030
K00948	map00230
K01690	map00030
K01625	map00630
K01625	map00030
K17463	map00030
K11395	map00052
K11395	map00030
K00034	map00030
K22969	map00030
K21840	map00030
K18124	map00052
K18124	map00030
K18125	map00052
K18125	map00030
K00115	map00030
K19813	map00030
K00117	map00030
K01053	map00053
K01053	map00030
K01053	map00930
K01053	map04147
K06151	map00030
K06152	map00030
K00090	map00630
K00090	map00620
K00090	map00030
K00090	map00260
K22229	map00030
K11441	map00030
K00032	map00030
K00032	map00480
K00851	map00030
K25031	map00030
K05308	map00052
K05308	map00030
K00874	map00030
K18126	map00052
K18126	map00030
K18127	map00052
K18127	map00030
K03738	map00030
K18020	map00030
K18021	map00030
K18022	map00030
K18128	map00030
K11529	map00030
K11529	map00561
K11529	map00260
K11529	map00680
K11529	map00630
K22345	map00030
K17464	map02000
K17464	map00030
K17464	map02060
K17465	map02000
K17465	map00030
K17465	map02060
K17466	map02000
K17466	map00030
K17466	map02060
K17467	map02000
K17467	map00030
K17467	map02060
K17468	map00030
K01051	map00040
K01051	map02020
K22539	map00040
K01728	map00040
K01728	map02024
K19551	map00040
K01731	map00040
K22994	map00040
K01730	map00040
K26933	map00040
K01815	map00040
K00065	map00040
K01184	map00040
K01213	map00040
K22933	map00040
K01812	map00040
K00041	map00040
K01685	map00040
K16849	map00040
K16850	map00040
K01686	map00040
K08323	map00040
K00040	map00040
K21619	map00040
K08322	map00040
K18106	map00040
K19634	map00040
K18102	map00040
K18103	map00040
K18107	map00040
K01195	map00944
K01195	map04142
K01195	map00860
K01195	map00983
K01195	map00531
K01195	map00040
K01195	map00053
K14756	map04211
K14756	map02000
K14756	map04147
K14756	map04928
K14756	map04961
K14756	map00040
K14756	map00053
K00699	map00982
K00699	map00980
K00699	map01003
K00699	map05204
K00699	map00830
K00699	map00860
K00699	map00983
K00699	map04976
K00699	map05207
K00699	map00040
K00699	map00140
K00699	map00053
K16190	map00040
K16190	map00520
K16190	map00053
K12447	map00040
K12447	map00052
K12447	map00520
K12447	map00053
K00012	map00040
K00012	map00541
K00012	map00520
K00012	map00053
K00963	map00500
K00963	map00052
K00963	map00541
K00963	map00040
K00963	map00520
K13247	map00040
K08092	map00040
K08092	map00053
K00880	map00040
K00880	map00053
K03078	map00040
K03078	map00053
K03079	map00040
K03079	map00053
K03077	map00040
K03077	map00053
K01804	map00040
K00853	map00040
K24707	map00040
K00854	map00040
K01805	map00040
K01805	map00051
K00011	map00561
K00011	map00052
K00011	map00790
K00011	map00051
K00011	map00040
K00594	map00040
K00594	map00051
K17743	map00040
K26066	map00040
K03331	map00040
K25879	map00040
K25880	map00040
K25881	map00040
K01820	map00040
K01820	map00051
K00848	map00040
K00848	map00051
K01629	map00040
K01629	map00051
K17738	map00040
K17818	map00040
K00007	map00040
K00007	map00051
K09988	map00040
K05351	map00040
K00008	map00040
K00008	map00051
K22185	map00040
K00078	map00040
K00078	map00980
K14273	map00040
K14274	map00040
K24442	map00040
K24443	map00040
K24443	map00053
K14275	map00040
K22186	map00040
K22396	map00040
K22397	map00040
K14259	map00040
K14259	map00053
K13877	map00040
K13877	map00470
K13877	map00053
K19588	map00040
K19588	map00470
K19588	map00053
K22187	map00040
K00875	map00040
K22935	map00040
K00039	map00040
K21680	map00040
K05352	map00040
K21681	map00040
K21030	map00040
K21031	map00040
K21031	map00515
K01818	map00040
K01818	map00051
K00879	map00040
K00879	map00051
K01628	map00040
K01628	map00051
K01218	map00051
K01218	map02024
K19355	map00051
K00847	map00051
K00847	map00520
K00847	map00500
K01809	map00051
K01809	map00520
K16011	map02025
K16011	map00051
K16011	map00520
K16011	map00541
K17497	map00051
K17497	map00520
K01840	map00051
K01840	map00520
K16881	map00051
K16881	map00520
K00971	map00051
K00971	map00520
K00971	map00541
K00966	map00051
K00966	map00520
K01711	map00051
K01711	map00541
K02377	map00051
K02377	map00541
K00976	map00051
K00976	map00520
K18447	map00230
K18447	map00051
K18447	map00500
K05305	map00051
K05305	map00520
K00064	map00053
K00064	map00051
K18333	map00051
K07046	map00051
K18334	map00051
K18335	map00051
K18336	map00051
K26911	map00051
K18337	map00051
K18338	map00051
K12661	map00051
K18339	map00051
K12660	map00051
K01813	map00051
K21883	map00051
K05947	map00051
K05947	map01003
K07026	map00051
K18818	map00051
K19028	map04152
K19028	map00051
K19028	map04922
K19029	map04152
K19029	map04919
K19029	map00051
K01103	map04152
K01103	map00051
K01103	map04066
K19030	map04152
K19030	map00051
K00900	map00051
K14634	map05230
K14634	map00051
K00009	map00051
K00068	map00051
K19956	map00051
K00846	map00051
K00846	map04147
K27475	map00051
K00882	map02060
K00882	map00051
K08261	map00051
K17742	map00051
K19633	map00051
K00045	map00051
K27924	map00051
K00066	map02020
K00066	map00051
K00066	map00520
K19290	map00543
K19290	map00051
K19290	map01003
K19291	map00543
K19291	map00051
K19291	map02025
K01795	map00051
K01729	map00051
K00863	map00680
K00863	map00051
K00863	map00561
K00863	map04622
K03332	map00051
K22252	map00051
K22252	map00541
K15856	map00051
K15856	map00541
K00881	map00051
K17195	map00051
K02768	map02060
K02768	map00051
K02768	map02000
K02769	map02060
K02769	map00051
K02769	map02000
K02770	map02060
K02770	map00051
K02770	map02000
K11194	map02060
K11194	map00051
K11194	map02000
K11195	map02060
K11195	map00051
K11195	map02000
K11196	map02060
K11196	map00051
K11196	map02000
K02771	map02060
K02771	map00051
K02771	map02000
K02793	map02060
K02793	map00051
K02793	map00520
K02793	map02000
K02794	map02060
K02794	map00051
K02794	map00520
K02794	map02000
K02795	map02060
K02795	map00051
K02795	map00520
K02795	map02000
K02796	map02060
K02796	map00051
K02796	map00520
K02796	map02000
K25814	map02060
K25814	map00051
K25814	map02000
K02798	map02060
K02798	map00051
K02798	map02000
K02800	map02060
K02800	map00051
K02800	map02000
K19270	map00051
K24204	map00051
K02781	map02060
K02781	map00051
K02781	map02000
K02782	map02060
K02782	map00051
K02782	map02000
K02783	map02060
K02783	map00051
K02783	map02000
K02812	map02060
K02812	map00051
K02812	map02000
K02813	map02060
K02813	map00051
K02813	map02000
K02814	map02060
K02814	map00051
K02814	map02000
K02815	map02060
K02815	map00051
K02815	map02000
K00849	map00052
K00849	map04147
K00849	map00520
K00965	map04917
K00965	map00052
K00965	map00520
K01784	map00052
K01784	map00520
K17716	map00052
K17716	map00520
K01190	map00511
K01190	map00052
K01190	map00600
K12111	map00511
K12111	map00052
K12112	map00511
K12112	map00052
K12308	map00052
K12309	map00511
K12309	map00052
K12309	map04142
K12309	map04147
K12309	map00604
K12309	map00531
K12309	map00600
K01229	map04973
K01229	map00052
K01229	map03110
K00704	map00052
K07966	map00514
K07966	map00510
K07966	map00533
K07966	map01003
K07966	map04131
K07966	map00052
K07966	map04147
K07966	map00601
K07966	map00513
K07966	map00515
K07967	map00514
K07967	map00510
K07967	map00533
K07967	map01003
K07967	map00052
K07967	map00601
K07967	map00513
K07967	map00515
K01854	map00052
K01854	map00520
K18819	map00052
K06617	map00052
K01189	map00561
K01189	map00052
K01189	map04142
K01189	map00600
K01189	map00603
K07406	map00603
K07406	map00052
K07406	map00600
K07406	map00561
K07407	map00603
K07407	map00052
K07407	map00600
K07407	map00561
K02773	map02000
K02773	map00052
K02773	map02060
K02774	map02000
K02774	map00052
K02774	map02060
K02775	map02000
K02775	map00052
K02775	map02060
K00094	map00052
K21620	map00052
K21621	map00052
K21622	map00052
K00917	map00052
K01635	map00052
K01635	map02024
K08302	map00052
K16371	map00052
K00035	map00052
K22215	map00052
K04618	map00052
K01684	map00052
K00883	map00052
K01631	map00052
K01819	map00052
K01220	map00052
K02786	map02000
K02786	map00052
K02786	map02060
K02788	map02000
K02788	map00052
K02788	map02060
K01193	map00052
K01193	map00500
K06611	map00052
K12047	map04973
K12047	map00052
K12047	map00500
K01187	map00052
K01187	map00500
K12316	map00052
K12316	map00500
K12316	map04147
K12316	map04142
K12317	map00052
K12317	map00500
K01182	map00052
K01182	map00500
K01203	map04973
K01203	map00052
K01203	map00500
K01203	map04147
K02744	map02000
K02744	map00052
K02744	map02060
K02744	map00520
K02745	map02000
K02745	map00052
K02745	map02060
K02745	map00520
K02746	map02000
K02746	map00052
K02746	map02060
K02746	map00520
K02747	map02000
K02747	map00052
K02747	map02060
K02747	map00520
K02079	map00052
K02079	map00520
K02082	map00052
K10984	map02000
K10984	map00052
K10984	map02060
K10984	map00520
K10985	map02000
K10985	map00052
K10985	map02060
K10985	map00520
K10986	map02000
K10986	map00052
K10986	map02060
K10986	map00520
K00469	map00053
K00469	map00562
K00103	map00053
K10046	map00053
K10046	map00520
K14190	map00053
K10047	map00053
K10047	map00562
K10047	map04070
K18649	map00053
K18649	map00562
K18649	map00340
K18649	map04070
K17744	map00053
K00225	map00053
K08679	map00053
K08679	map00520
K08679	map00541
K19642	map00053
K23003	map00053
K23004	map00053
K23005	map00053
K23007	map00053
K02821	map00053
K02821	map02060
K02821	map02000
K02822	map00053
K02822	map02060
K02822	map02000
K03475	map00053
K03475	map02060
K03475	map02000
K03476	map00053
K08232	map00053
K00434	map00053
K00434	map00480
K21888	map00053
K21888	map02000
K21888	map00480
K00423	map00053
K01706	map00053
K01630	map00053
K00062	map00053
K00063	map00053
K00107	map00053
K19590	map00053
K01683	map00053
K13873	map00053
K19660	map00053
K13874	map00053
K13875	map00053
K13876	map00053
K25260	map00053
K01707	map00053
K01708	map00053
K20023	map00053
K18981	map00053
K18982	map00053
K18983	map00053
K02810	map02060
K02810	map00500
K02810	map02000
K00696	map00500
K07024	map00500
K00695	map00500
K00695	map01003
K20811	map00500
K00692	map02020
K00692	map00500
K00692	map01003
K18775	map00500
K01212	map00500
K05341	map00500
K00689	map02020
K00689	map00500
K00690	map00500
K01513	map00500
K01513	map04090
K01513	map00760
K01513	map00770
K01513	map00740
K01513	map00230
K01513	map00537
K01513	map00240
K00706	map00500
K00706	map01003
K00706	map04011
K01199	map00537
K01199	map00500
K19891	map00537
K19891	map00500
K19892	map00537
K19892	map00500
K19893	map00537
K19893	map00500
K01210	map00500
K01188	map00999
K01188	map00500
K01188	map00460
K05349	map00999
K05349	map00500
K05349	map00946
K05349	map00460
K05350	map00999
K05350	map00500
K05350	map00946
K05350	map00460
K00694	map02026
K00694	map00500
K00694	map01003
K01179	map02020
K01179	map00500
K19357	map00500
K01225	map00500
K19668	map02020
K19668	map00500
K00702	map00500
K02759	map02060
K02759	map00500
K02759	map02000
K02760	map02060
K02760	map00500
K02760	map02000
K02761	map02060
K02761	map00500
K02761	map02000
K00978	map00500
K00978	map00520
K00978	map00541
K00975	map02026
K00975	map00500
K00975	map00520
K00703	map02026
K00703	map00500
K00703	map01003
K13679	map00500
K13679	map01003
K20812	map00500
K00693	map00500
K00693	map04151
K00693	map01003
K00693	map04152
K00693	map04922
K00693	map04910
K00693	map05415
K00693	map04931
K00750	map00500
K00750	map01003
K16150	map00500
K16150	map01003
K16153	map00500
K16153	map01003
K00700	map00500
K00700	map04147
K16149	map00500
K00688	map00500
K00688	map04922
K00688	map04217
K00688	map02026
K00688	map04910
K00688	map04931
K01196	map00500
K02438	map00500
K01200	map00500
K01176	map04973
K01176	map04972
K01176	map00500
K01176	map04970
K07405	map00500
K05343	map00500
K01177	map00500
K05992	map00500
K01208	map00500
K01178	map00500
K21574	map00500
K05988	map00500
K00705	map00500
K22451	map00500
K16146	map00500
K16147	map00500
K16148	map00500
K16148	map01003
K00691	map00500
K01838	map00500
K20108	map02060
K20108	map00500
K20108	map02000
K02750	map02060
K02750	map00500
K02750	map02000
K06896	map00500
K01232	map00500
K00701	map00500
K01214	map00500
K06044	map00500
K01236	map00500
K13057	map00500
K00697	map00500
K00697	map01003
K01087	map00500
K16055	map00500
K16055	map01003
K22337	map00500
K01194	map00537
K01194	map00500
K22934	map00500
K05342	map00500
K02819	map02060
K02819	map00500
K02819	map02000
K01226	map00500
K11809	map00500
K00656	map00620
K00656	map00640
K00656	map00650
K00132	map00620
K00132	map00650
K04073	map00650
K04073	map00620
K04073	map00362
K04073	map00622
K04073	map00360
K04073	map00621
K18366	map00650
K18366	map00620
K18366	map00362
K18366	map00622
K18366	map00621
K04021	map00620
K00925	map00430
K00925	map00620
K00925	map00640
K00925	map00720
K00925	map00680
K00625	map00430
K00625	map00620
K00625	map00640
K00625	map00720
K00625	map00680
K13788	map00430
K13788	map00620
K13788	map00640
K13788	map00720
K13788	map00680
K15024	map00620
K15024	map00640
K15024	map00720
K15024	map00430
K04020	map00620
K11262	map04152
K11262	map00620
K11262	map00640
K11262	map04922
K11262	map00061
K11262	map04936
K11262	map04910
K11262	map00254
K01946	map04920
K01946	map04152
K01946	map00620
K01946	map00640
K01946	map04922
K01946	map00061
K01946	map04936
K01946	map04910
K01946	map04931
K01946	map00254
K01962	map00620
K01962	map00640
K01962	map00720
K01962	map00061
K02160	map00620
K02160	map00640
K02160	map00720
K02160	map00061
K01961	map00620
K01961	map00640
K01961	map00720
K01961	map00061
K01963	map00620
K01963	map00640
K01963	map00720
K01963	map00061
K11263	map00074
K11263	map00280
K11263	map00620
K11263	map00640
K11263	map00630
K11263	map00061
K18472	map00074
K18472	map00280
K18472	map00620
K18472	map00640
K18472	map00630
K18472	map00061
K01512	map00620
K01512	map00627
K01067	map00620
K01026	map00620
K01026	map00640
K01026	map00643
K00158	map00620
K00101	map00620
K26113	map00620
K26114	map00620
K26115	map00620
K00156	map00620
K00467	map00620
K03778	map00620
K03777	map00620
K21836	map00620
K00102	map00620
K18930	map00620
K21618	map00620
K17741	map00620
K17741	map00640
K17741	map04011
K23257	map00620
K23257	map00640
K07248	map00630
K07248	map00620
K19266	map00620
K01759	map00620
K01069	map00620
K05523	map00620
K05523	map01002
K18881	map00620
K18881	map01002
K22211	map00620
K22373	map00620
K00049	map00630
K00049	map00620
K00049	map00260
K12972	map00630
K12972	map00620
K12972	map00260
K00027	map00620
K00027	map02020
