ko_id	pathway_id
K00844	map00521
K00844	map00500
K00844	map04066
K00844	map04131
K00844	map05131
K00844	map00052
K00844	map04930
K00844	map05230
K00844	map00051
K00844	map00010
K00844	map00524
K00844	map04973
K00844	map04910
K00844	map00520
K12407	map00521
K12407	map00500
K12407	map04911
K12407	map04917
K12407	map04950
K12407	map04922
K12407	map00052
K12407	map04930
K12407	map05230
K12407	map00010
K12407	map00524
K12407	map04910
K12407	map00520
K00845	map00521
K00845	map00500
K00845	map00052
K00845	map00010
K00845	map00524
K00845	map00520
K25026	map00521
K25026	map00500
K25026	map00052
K25026	map00010
K25026	map00524
K25026	map00520
K01810	map00030
K01810	map00500
K01810	map04147
K01810	map00010
K01810	map00520
K06859	map00030
K06859	map00500
K06859	map00010
K06859	map00520
K13810	map00030
K13810	map00500
K13810	map00710
K13810	map00010
K13810	map00520
K15916	map00030
K15916	map00500
K15916	map00051
K15916	map00010
K15916	map00520
K24182	map00680
K24182	map00030
K24182	map00051
K24182	map00010
K00850	map00030
K00850	map03018
K00850	map04066
K00850	map04152
K00850	map04922
K00850	map00052
K00850	map04919
K00850	map05230
K00850	map00680
K00850	map00051
K00850	map00010
K00850	map01009
K00850	map03019
K16370	map00030
K16370	map00052
K16370	map00680
K16370	map00051
K16370	map00010
K21071	map00030
K21071	map00052
K21071	map00680
K21071	map00051
K21071	map00010
K00918	map00680
K00918	map00030
K00918	map00010
K00895	map00030
K00895	map00051
K00895	map00010
K03841	map00030
K03841	map04152
K03841	map04922
K03841	map04147
K03841	map00680
K03841	map00051
K03841	map00710
K03841	map00010
K03841	map04910
K02446	map00030
K02446	map00680
K02446	map00051
K02446	map00710
K02446	map00010
K11532	map00030
K11532	map00680
K11532	map00051
K11532	map00710
K11532	map00010
K01086	map00030
K01086	map00680
K01086	map00051
K01086	map00710
K01086	map00010
K04041	map00030
K04041	map00680
K04041	map00051
K04041	map00710
K04041	map00010
K01623	map00030
K01623	map04066
K01623	map04131
K01623	map04147
K01623	map00680
K01623	map00051
K01623	map00710
K01623	map00010
K01623	map03036
K11645	map00030
K11645	map00680
K11645	map00051
K11645	map00710
K11645	map00010
K01624	map00030
K01624	map00680
K01624	map00051
K01624	map00710
K01624	map00010
K01622	map00680
K01622	map00030
K01622	map00051
K01622	map00010
K16305	map00030
K16305	map00680
K16305	map00051
K16305	map00010
K16305	map00400
K16306	map00030
K16306	map00680
K16306	map00051
K16306	map00010
K16306	map00400
K01803	map00562
K01803	map04147
K01803	map00051
K01803	map00710
K01803	map00010
K00134	map04066
K00134	map05132
K00134	map04131
K00134	map05010
K00134	map04147
K00134	map00710
K00134	map00010
K00134	map05130
K00134	map05415
K10705	map00010
K00150	map00710
K00150	map00010
K00927	map04147
K00927	map00710
K00927	map04066
K00927	map00010
K01834	map04922
K01834	map04131
K01834	map04147
K01834	map00260
K01834	map00680
K01834	map05230
K01834	map00010
K15634	map00260
K15634	map00680
K15634	map00010
K15633	map00260
K15633	map00680
K15633	map00010
K15635	map00260
K15635	map00680
K15635	map00010
K01689	map03018
K01689	map04066
K01689	map04147
K01689	map00680
K01689	map04820
K01689	map00010
K01689	map03019
K27394	map00010
K00873	map04922
K00873	map00620
K00873	map04131
K00873	map05165
K00873	map04930
K00873	map04147
K00873	map05230
K00873	map00010
K00873	map05203
K12406	map04950
K12406	map00620
K12406	map04930
K12406	map04147
K12406	map00010
K12406	map04932
K12406	map04910
K01006	map00620
K01006	map00710
K01006	map00720
K01006	map00010
K01007	map00680
K01007	map00620
K01007	map00720
K01007	map00010
K00163	map00620
K00163	map00020
K00163	map00010
K00163	map00785
K00161	map04066
K00161	map04922
K00161	map00620
K00161	map05230
K00161	map00010
K00161	map00785
K00161	map00020
K00161	map05415
K00162	map04066
K00162	map04922
K00162	map00620
K00162	map05230
K00162	map00010
K00162	map00785
K00162	map00020
K00162	map05415
K00627	map00620
K00627	map00020
K00627	map00010
K00627	map00785
K00382	map00280
K00382	map00620
K00382	map00640
K00382	map04147
K00382	map00260
K00382	map00670
K00382	map00010
K00382	map00310
K00382	map00785
K00382	map00630
K00382	map00020
K00382	map00380
K13997	map00620
K13997	map00020
K13997	map09113
K13997	map00010
K00169	map00650
K00169	map00620
K00169	map00640
K00169	map00720
K00169	map00680
K00169	map00633
K00169	map00010
K00169	map00020
K00170	map00650
K00170	map00620
K00170	map00640
K00170	map00720
K00170	map00680
K00170	map00633
K00170	map00010
K00170	map00020
K00172	map00650
K00172	map00620
K00172	map00640
K00172	map00720
K00172	map00680
K00172	map00633
K00172	map00010
K00172	map00020
K00189	map00650
K00189	map00280
K00189	map00620
K00189	map00640
K00189	map00720
K00189	map00680
K00189	map00633
K00189	map00010
K00189	map00020
K00171	map00650
K00171	map00620
K00171	map00640
K00171	map00720
K00171	map00680
K00171	map00633
K00171	map00010
K00171	map00020
K03737	map00650
K03737	map00620
K03737	map00720
K03737	map00010
K03737	map00020
K00174	map00650
K00174	map00620
K00174	map00720
K00174	map00010
K00174	map00020
K00175	map00650
K00175	map00620
K00175	map00720
K00175	map00010
K00175	map00020
K00016	map04066
K00016	map00270
K00016	map04922
K00016	map00620
K00016	map00640
K00016	map04147
K00016	map05230
K00016	map00010
K01568	map00010
K13951	map00071
K13951	map00982
K13951	map00620
K13951	map00350
K13951	map00830
K13951	map04936
K13951	map00010
K13951	map00980
K13980	map00071
K13980	map00982
K13980	map00620
K13980	map00350
K13980	map00830
K13980	map04936
K13980	map00010
K13980	map00980
K00121	map00071
K00121	map00625
K00121	map00982
K00121	map00620
K00121	map00626
K00121	map00350
K00121	map00830
K00121	map04936
K00121	map00680
K00121	map00010
K00121	map00980
K13952	map00071
K13952	map00982
K13952	map00620
K13952	map00350
K13952	map00830
K13952	map04936
K13952	map00010
K13952	map00980
K04072	map00650
K04072	map00071
K04072	map00625
K04072	map00620
K04072	map00626
K04072	map00350
K04072	map05146
K04072	map00010
K13953	map00071
K13953	map00625
K13953	map00982
K13953	map00620
K13953	map00626
K13953	map00350
K13953	map00830
K13953	map00010
K13953	map00980
K13954	map00071
K13954	map00625
K13954	map00620
K13954	map00626
K13954	map00350
K13954	map00010
K18857	map00071
K18857	map00620
K18857	map00350
K18857	map00010
K18857	map00592
K00001	map00071
K00001	map00625
K00001	map00982
K00001	map00620
K00001	map00626
K00001	map00350
K00001	map00830
K00001	map00010
K00001	map00980
K00002	map00561
K00002	map00620
K00002	map04147
K00002	map00930
K00002	map00010
K00002	map05208
K00002	map00040
K00002	map00053
K12957	map00907
K12957	map00620
K12957	map00010
K13979	map00620
K13979	map00010
K13979	map00561
K14028	map00620
K14028	map00680
K14028	map00010
K14028	map00625
K14029	map00620
K14029	map00680
K14029	map00010
K14029	map00625
K00114	map00620
K00114	map00010
K00114	map00625
K04022	map00620
K04022	map00010
K22473	map00620
K22473	map00010
K22474	map00620
K22474	map00010
K00128	map00071
K00128	map00625
K00128	map00561
K00128	map00280
K00128	map00620
K00128	map00770
K00128	map00410
K00128	map00981
K00128	map04936
K00128	map00330
K00128	map00010
K00128	map00310
K00128	map00340
K00128	map00903
K00128	map00053
K00128	map00380
K14085	map00071
K14085	map00561
K14085	map00280
K14085	map00620
K14085	map00410
K14085	map04936
K14085	map00260
K14085	map00670
K14085	map00330
K14085	map00010
K14085	map00310
K14085	map00340
K14085	map00053
K14085	map00380
K00149	map00071
K00149	map00561
K00149	map00280
K00149	map00620
K00149	map00410
K00149	map04936
K00149	map00330
K00149	map00010
K00149	map00310
K00149	map00340
K00149	map00053
K00149	map00380
K00129	map00982
K00129	map00350
K00129	map00410
K00129	map00360
K00129	map00340
K00129	map00010
K00129	map00980
K00138	map00620
K00138	map00010
K01895	map00620
K01895	map00640
K01895	map00720
K01895	map00680
K01895	map00010
K01895	map01004
K01895	map00630
K01913	map00650
K01913	map00620
K01913	map00010
K01913	map01004
K01913	map00630
K01905	map00620
K01905	map00640
K01905	map00010
K01905	map01004
K22224	map00620
K22224	map00640
K22224	map00010
K22224	map01004
K24012	map00620
K24012	map00640
K24012	map00010
K24012	map01004
K01785	map00052
K01785	map00010
K01085	map00010
K20866	map00010
K01835	map00521
K01835	map00030
K01835	map00500
K01835	map00052
K01835	map00010
K01835	map00230
K01835	map00520
K15778	map00521
K15778	map00030
K15778	map00500
K15778	map00052
K15778	map00051
K15778	map00010
K15778	map00230
K15778	map00520
K15779	map00030
K15779	map00500
K15779	map00052
K15779	map00010
K15779	map00230
K15779	map00520
K01084	map00500
K01084	map04920
K01084	map04151
K01084	map04152
K01084	map04922
K01084	map00052
K01084	map00010
K01084	map04973
K01084	map04910
K01084	map04931
K01084	map04068
K00886	map00010
K00886	map00520
K08074	map00010
K01792	map00010
K01837	map00260
K01837	map00010
K03103	map00562
K03103	map00010
K11389	map00010
K00131	map00030
K00131	map00010
K18978	map00030
K18978	map00010
K01596	map04920
K01596	map04151
K01596	map04152
K01596	map00620
K01596	map04922
K01596	map04964
K01596	map03320
K01596	map00010
K01596	map04910
K01596	map00020
K01596	map04931
K01596	map04068
K01610	map00620
K01610	map00020
K01610	map00710
K01610	map00010
K01222	map00500
K01222	map00010
K01223	map00500
K01223	map00010
K02777	map00500
K02777	map02000
K02777	map05111
K02777	map02060
K02777	map00010
K02777	map02026
K02777	map00520
K02779	map02000
K02779	map05111
K02779	map02060
K02779	map00010
K02779	map00520
K02791	map00500
K02791	map02000
K02791	map02060
K02791	map00010
K02791	map00520
K20118	map02000
K20118	map02060
K20118	map00010
K20118	map00520
K02753	map02000
K02753	map02060
K02753	map00010
K01647	map00630
K01647	map00020
K05942	map00020
K01659	map00630
K01659	map00020
K01659	map00640
K27797	map00630
K27797	map00020
K27797	map00640
K01648	map00020
K01648	map00720
K01648	map04147
K15230	map00020
K15230	map00720
K15231	map00020
K15231	map00720
K01681	map00630
K01681	map00020
K01681	map00720
K27802	map00630
K27802	map00020
K27802	map00720
K27802	map00640
K01682	map00630
K01682	map00020
K01682	map00720
K01682	map00640
K00031	map00720
K00031	map05230
K00031	map04146
K00031	map00480
K00031	map00020
K00030	map00020
K17753	map00020
K17753	map00300
K00164	map00020
K00164	map00785
K00658	map00785
K00658	map00020
K00658	map00380
K00658	map00310
K01616	map00630
K01616	map00020
K01616	map00785
K00177	map00020
K00177	map00720
K00176	map00020
K00176	map00720
K01902	map00020
K01902	map00660
K01902	map00720
K01902	map00640
K01903	map00020
K01903	map00660
K01903	map00720
K01903	map00640
K01899	map00020
K01899	map00640
K01900	map04147
K01900	map00020
K01900	map00640
K18118	map00620
K18118	map00020
K18118	map00650
K00234	map05020
K00234	map04714
K00234	map05022
K00234	map05010
K00234	map00190
K00234	map05014
K00234	map05016
