biosample_id,taxon,expr_sum
nmdc:bsm-11-042nd237,Pseudomonadota,12587851
nmdc:bsm-11-042nd237,RNA viruses,1638
nmdc:bsm-11-042nd237,Retro-transcribing viruses,8
nmdc:bsm-11-042nd237,Rhodothermota,20751
nmdc:bsm-11-042nd237,Spirochaetota,17071
nmdc:bsm-11-042nd237,Streptophyta,25703
nmdc:bsm-11-042nd237,Synergistota,4847
nmdc:bsm-11-042nd237,Thermodesulfobacteriota,332750
nmdc:bsm-11-042nd237,Thermomicrobiota,20345
nmdc:bsm-11-042nd237,Thermoproteota,4966
nmdc:bsm-11-042nd237,Thermotogota,4151
nmdc:bsm-11-042nd237,Uroviricota,1933
nmdc:bsm-11-042nd237,Verrucomicrobiota,485790
nmdc:bsm-11-042nd237,Zoopagomycota,6295
nmdc:bsm-11-042nd237,candidate division NC10,28822
nmdc:bsm-11-042nd237,candidate division Zixibacteria,2569
nmdc:bsm-11-042nd237,"dsDNA viruses, no RNA stage",3324
nmdc:bsm-11-042nd237,dsRNA viruses,12191
nmdc:bsm-11-042nd237,ssDNA viruses,454
nmdc:bsm-11-042nd237,ssRNA (+) viruses,156742
nmdc:bsm-11-042nd237,ssRNA viruses,56028
nmdc:bsm-11-042nd237,unclassified Bacteria,15930
nmdc:bsm-11-042nd237,unclassified Eukaryota,13811
nmdc:bsm-11-042nd237,unclassified Viruses,61775
nmdc:bsm-11-042nd237,unclassified phages,5
nmdc:bsm-11-042nd237,unclassified virophages,5
nmdc:bsm-11-042nd237,unclassified viruses,21391
nmdc:bsm-11-3p2mnz08,Acidobacteriota,1953328
nmdc:bsm-11-3p2mnz08,Actinomycetota,2761975
nmdc:bsm-11-3p2mnz08,Annelida,7057
nmdc:bsm-11-3p2mnz08,Apicomplexa,11114
nmdc:bsm-11-3p2mnz08,Aquificota,2488
nmdc:bsm-11-3p2mnz08,Armatimonadota,99484
nmdc:bsm-11-3p2mnz08,Arthropoda,25038
nmdc:bsm-11-3p2mnz08,Ascomycota,105023
nmdc:bsm-11-3p2mnz08,Atribacterota,779
nmdc:bsm-11-3p2mnz08,Bacillariophyta,4524
nmdc:bsm-11-3p2mnz08,Bacillota,253749
nmdc:bsm-11-3p2mnz08,Bacteroidota,480773
nmdc:bsm-11-3p2mnz08,Balneolota,4067
nmdc:bsm-11-3p2mnz08,Basidiomycota,77391
nmdc:bsm-11-3p2mnz08,Bdellovibrionota,8676
nmdc:bsm-11-3p2mnz08,Blastocladiomycota,1822
nmdc:bsm-11-3p2mnz08,Caldisericota,327
nmdc:bsm-11-3p2mnz08,Calditrichota,784
nmdc:bsm-11-3p2mnz08,Campylobacterota,2499
nmdc:bsm-11-3p2mnz08,Candidatus Absconditabacteria,2
nmdc:bsm-11-3p2mnz08,Candidatus Aerophobetes,733
nmdc:bsm-11-3p2mnz08,Candidatus Aminicenantes,2579
nmdc:bsm-11-3p2mnz08,Candidatus Bathyarchaeota,129
nmdc:bsm-11-3p2mnz08,Candidatus Berkelbacteria,9
nmdc:bsm-11-3p2mnz08,Candidatus Bipolaricaulota,88
nmdc:bsm-11-3p2mnz08,Candidatus Calescamantes,409
nmdc:bsm-11-3p2mnz08,Candidatus Cloacimonadota,218
nmdc:bsm-11-3p2mnz08,Candidatus Cryosericota,251
nmdc:bsm-11-3p2mnz08,Candidatus Diapherotrites,14
nmdc:bsm-11-3p2mnz08,Candidatus Fervidibacteria,1162
nmdc:bsm-11-3p2mnz08,Candidatus Gracilibacteria,20
nmdc:bsm-11-3p2mnz08,Candidatus Hydrogenedentes,473
nmdc:bsm-11-3p2mnz08,Candidatus Korarchaeota,131
nmdc:bsm-11-3p2mnz08,Candidatus Latescibacteria,754
nmdc:bsm-11-3p2mnz08,Candidatus Lokiarchaeota,48
nmdc:bsm-11-3p2mnz08,Candidatus Marinimicrobia,1157
nmdc:bsm-11-3p2mnz08,Candidatus Melainabacteria,673
nmdc:bsm-11-3p2mnz08,Candidatus Micrarchaeota,2
nmdc:bsm-11-3p2mnz08,Candidatus Microgenomates,1562
nmdc:bsm-11-3p2mnz08,Candidatus Nanohaloarchaeota,12
nmdc:bsm-11-3p2mnz08,Candidatus Omnitrophota,4415
nmdc:bsm-11-3p2mnz08,Candidatus Parcubacteria,2062
nmdc:bsm-11-3p2mnz08,Candidatus Poribacteria,2399
nmdc:bsm-11-3p2mnz08,Candidatus Saccharibacteria,553
nmdc:bsm-11-3p2mnz08,Candidatus Sumerlaeota,911
nmdc:bsm-11-3p2mnz08,Candidatus Thermoplasmatota,759
nmdc:bsm-11-3p2mnz08,Chlamydiota,2818
nmdc:bsm-11-3p2mnz08,Chlorobiota,2290
nmdc:bsm-11-3p2mnz08,Chloroflexota,181635
nmdc:bsm-11-3p2mnz08,Chlorophyta,35525
nmdc:bsm-11-3p2mnz08,Chordata,15583
nmdc:bsm-11-3p2mnz08,Chrysiogenota,412
nmdc:bsm-11-3p2mnz08,Chytridiomycota,14369
nmdc:bsm-11-3p2mnz08,Ciliophora,19739
nmdc:bsm-11-3p2mnz08,Cnidaria,7264
nmdc:bsm-11-3p2mnz08,Coprothermobacterota,119
nmdc:bsm-11-3p2mnz08,Cressdnaviricota,10
nmdc:bsm-11-3p2mnz08,Cyanobacteriota,71377
nmdc:bsm-11-3p2mnz08,Deferribacterota,1186
nmdc:bsm-11-3p2mnz08,Deinococcota,10637
nmdc:bsm-11-3p2mnz08,Dictyoglomota,294
nmdc:bsm-11-3p2mnz08,Duplornaviricota,6
nmdc:bsm-11-3p2mnz08,Elusimicrobiota,3974
nmdc:bsm-11-3p2mnz08,Euglenozoa,3066
nmdc:bsm-11-3p2mnz08,Euryarchaeota,28348
nmdc:bsm-11-3p2mnz08,Evosea,24923
nmdc:bsm-11-3p2mnz08,Fibrobacterota,1203
nmdc:bsm-11-3p2mnz08,Fornicata,43
nmdc:bsm-11-3p2mnz08,Fusobacteriota,805
nmdc:bsm-11-3p2mnz08,Gemmatimonadota,64796
nmdc:bsm-11-3p2mnz08,Haptophyta,3189
nmdc:bsm-11-3p2mnz08,Heterolobosea,3395
nmdc:bsm-11-3p2mnz08,Ignavibacteriota,5041
nmdc:bsm-11-3p2mnz08,Kiritimatiellota,1066
nmdc:bsm-11-3p2mnz08,Kitrinoviricota,1392
nmdc:bsm-11-3p2mnz08,Lenarviricota,7067
nmdc:bsm-11-3p2mnz08,Lentisphaerota,1325
nmdc:bsm-11-3p2mnz08,Microsporidia,70
nmdc:bsm-11-3p2mnz08,Mollusca,2659
nmdc:bsm-11-3p2mnz08,Mucoromycota,38240
nmdc:bsm-11-3p2mnz08,Mycoplasmatota,2320
nmdc:bsm-11-3p2mnz08,Myxococcota,372327
nmdc:bsm-11-3p2mnz08,Nanoarchaeota,4
nmdc:bsm-11-3p2mnz08,Negarnaviricota,744
nmdc:bsm-11-3p2mnz08,Nematoda,6754
nmdc:bsm-11-3p2mnz08,Nitrososphaerota,11403
nmdc:bsm-11-3p2mnz08,Nitrospinota,1281
nmdc:bsm-11-3p2mnz08,Nitrospirota,20454
nmdc:bsm-11-3p2mnz08,Nucleocytoviricota,86
nmdc:bsm-11-3p2mnz08,Oomycota,6446
nmdc:bsm-11-3p2mnz08,Parabasalia,227
nmdc:bsm-11-3p2mnz08,Perkinsozoa,1757
nmdc:bsm-11-3p2mnz08,Pisuviricota,489
nmdc:bsm-11-3p2mnz08,Placozoa,1349
nmdc:bsm-11-3p2mnz08,Planctomycetota,639878
nmdc:bsm-11-3p2mnz08,Porifera,10876
nmdc:bsm-11-3p2mnz08,Preplasmiviricota,20
nmdc:bsm-11-3p2mnz08,Pseudomonadota,3395405
nmdc:bsm-11-3p2mnz08,RNA viruses,6
nmdc:bsm-11-3p2mnz08,Rhodothermota,7792
