biosample_id,rank,n_metag_taxa,n_metat_taxa,n_shared_taxa,n_metag_only,n_metat_only,jaccard
nmdc:bsm-11-8rn9bm20,species,28128,23776,22832,5296,944,0.7853604843148047
nmdc:bsm-11-93mc8g67,kingdom,4,4,4,0,0,1
nmdc:bsm-11-93mc8g67,phylum,120,120,112,8,8,0.875
nmdc:bsm-11-93mc8g67,class,272,283,266,6,17,0.9204152249134948
nmdc:bsm-11-93mc8g67,order,522,531,509,13,22,0.9356617647058824
nmdc:bsm-11-93mc8g67,family,1152,1162,1116,36,46,0.9315525876460768
nmdc:bsm-11-93mc8g67,genus,4781,4233,4131,650,102,0.8459963137415524
nmdc:bsm-11-93mc8g67,species,28436,21923,21131,7305,792,0.7229711235801286
nmdc:bsm-11-cwey4y35,kingdom,4,4,4,0,0,1
nmdc:bsm-11-cwey4y35,phylum,115,124,113,2,11,0.8968253968253969
nmdc:bsm-11-cwey4y35,class,269,281,263,6,18,0.9163763066202091
nmdc:bsm-11-cwey4y35,order,519,529,507,12,22,0.9371534195933456
nmdc:bsm-11-cwey4y35,family,1149,1151,1109,40,42,0.9311502938706969
nmdc:bsm-11-cwey4y35,genus,4710,4161,4073,637,88,0.8488953730721134
nmdc:bsm-11-cwey4y35,species,28442,21303,20799,7643,504,0.7185448766668969
nmdc:bsm-11-frgt4x11,kingdom,4,4,4,0,0,1
nmdc:bsm-11-frgt4x11,phylum,115,119,110,5,9,0.8870967741935484
nmdc:bsm-11-frgt4x11,class,269,278,258,11,20,0.8927335640138409
nmdc:bsm-11-frgt4x11,order,517,517,494,23,23,0.9148148148148149
nmdc:bsm-11-frgt4x11,family,1147,1118,1083,64,35,0.916243654822335
nmdc:bsm-11-frgt4x11,genus,4615,3879,3799,816,80,0.8091586794462193
nmdc:bsm-11-frgt4x11,species,28231,17990,17486,10745,504,0.6085261875761266
nmdc:bsm-11-g61cvw79,kingdom,4,4,4,0,0,1
nmdc:bsm-11-g61cvw79,phylum,116,117,107,9,10,0.8492063492063492
nmdc:bsm-11-g61cvw79,class,268,278,257,11,21,0.889273356401384
nmdc:bsm-11-g61cvw79,order,518,521,495,23,26,0.9099264705882353
nmdc:bsm-11-g61cvw79,family,1149,1122,1086,63,36,0.9164556962025316
nmdc:bsm-11-g61cvw79,genus,4699,3942,3864,835,78,0.8088758635126648
nmdc:bsm-11-g61cvw79,species,28154,18921,18420,9734,501,0.6428197522247426
nmdc:bsm-11-gk0czc37,kingdom,4,4,4,0,0,1
nmdc:bsm-11-gk0czc37,phylum,118,120,110,8,10,0.859375
nmdc:bsm-11-gk0czc37,class,271,279,260,11,19,0.896551724137931
nmdc:bsm-11-gk0czc37,order,524,523,499,25,24,0.9105839416058394
nmdc:bsm-11-gk0czc37,family,1158,1135,1101,57,34,0.9236577181208053
nmdc:bsm-11-gk0czc37,genus,4796,4138,4070,726,68,0.8367598684210527
nmdc:bsm-11-gk0czc37,species,28603,21515,20944,7659,571,0.7178994995543978
nmdc:bsm-11-gr59rt72,kingdom,4,4,4,0,0,1
nmdc:bsm-11-gr59rt72,phylum,115,125,113,2,12,0.889763779527559
nmdc:bsm-11-gr59rt72,class,268,288,267,1,21,0.9238754325259516
nmdc:bsm-11-gr59rt72,order,518,538,511,7,27,0.9376146788990826
nmdc:bsm-11-gr59rt72,family,1144,1167,1120,24,47,0.9403862300587741
nmdc:bsm-11-gr59rt72,genus,4624,4367,4234,390,133,0.890056758461215
nmdc:bsm-11-gr59rt72,species,27389,25039,23752,3637,1287,0.8282884642209514
nmdc:bsm-11-ha179016,kingdom,4,4,4,0,0,1
nmdc:bsm-11-ha179016,phylum,116,121,110,6,11,0.8661417322834646
nmdc:bsm-11-ha179016,class,268,279,261,7,18,0.9125874125874126
nmdc:bsm-11-ha179016,order,517,522,500,17,22,0.9276437847866419
nmdc:bsm-11-ha179016,family,1148,1134,1102,46,32,0.9338983050847458
nmdc:bsm-11-ha179016,genus,4557,4014,3932,625,82,0.8475964647553352
nmdc:bsm-11-ha179016,species,27949,19885,19385,8564,500,0.6813947766178073
nmdc:bsm-11-hebdaz02,kingdom,4,4,4,0,0,1
nmdc:bsm-11-hebdaz02,phylum,116,123,113,3,10,0.8968253968253969
nmdc:bsm-11-hebdaz02,class,271,284,263,8,21,0.9006849315068494
nmdc:bsm-11-hebdaz02,order,520,535,509,11,26,0.9322344322344323
nmdc:bsm-11-hebdaz02,family,1152,1168,1122,30,46,0.9365609348914858
nmdc:bsm-11-hebdaz02,genus,4668,4303,4196,472,107,0.8787434554973822
nmdc:bsm-11-hebdaz02,species,28456,23565,22806,5650,759,0.7806263905527983
nmdc:bsm-11-ncyddq48,kingdom,4,4,4,0,0,1
nmdc:bsm-11-ncyddq48,phylum,118,119,109,9,10,0.8515625
nmdc:bsm-11-ncyddq48,class,269,279,259,10,20,0.8961937716262975
nmdc:bsm-11-ncyddq48,order,518,523,498,20,25,0.9171270718232044
nmdc:bsm-11-ncyddq48,family,1150,1136,1092,58,44,0.914572864321608
nmdc:bsm-11-ncyddq48,genus,4741,4061,3959,782,102,0.8174685112533554
nmdc:bsm-11-ncyddq48,species,28604,19639,19065,9539,574,0.6534032490232367
nmdc:bsm-11-nq2tfm26,kingdom,4,4,4,0,0,1
nmdc:bsm-11-nq2tfm26,phylum,117,120,111,6,9,0.8809523809523809
nmdc:bsm-11-nq2tfm26,class,269,284,263,6,21,0.906896551724138
nmdc:bsm-11-nq2tfm26,order,521,531,507,14,24,0.9302752293577982
nmdc:bsm-11-nq2tfm26,family,1150,1148,1109,41,39,0.9327165685449958
nmdc:bsm-11-nq2tfm26,genus,4683,4221,4121,562,100,0.8615931423792599
nmdc:bsm-11-nq2tfm26,species,28352,22764,22110,6242,654,0.7622560849479418
nmdc:bsm-11-ssfs1051,kingdom,4,4,4,0,0,1
nmdc:bsm-11-ssfs1051,phylum,117,120,110,7,10,0.8661417322834646
nmdc:bsm-11-ssfs1051,class,269,281,261,8,20,0.903114186851211
nmdc:bsm-11-ssfs1051,order,521,526,502,19,24,0.9211009174311927
nmdc:bsm-11-ssfs1051,family,1149,1139,1099,50,40,0.9243061396131202
nmdc:bsm-11-ssfs1051,genus,4640,4111,4023,617,88,0.8508883248730964
nmdc:bsm-11-ssfs1051,species,28186,20976,20407,7779,569,0.7096852721265867
nmdc:bsm-11-ve9a4g91,kingdom,4,4,4,0,0,1
nmdc:bsm-11-ve9a4g91,phylum,120,123,113,7,10,0.8692307692307693
nmdc:bsm-11-ve9a4g91,class,272,287,266,6,21,0.9078498293515358
nmdc:bsm-11-ve9a4g91,order,521,538,509,12,29,0.9254545454545454
nmdc:bsm-11-ve9a4g91,family,1150,1179,1124,26,55,0.9327800829875519
nmdc:bsm-11-ve9a4g91,genus,4737,4433,4277,460,156,0.8741058655221745
nmdc:bsm-11-ve9a4g91,species,28242,24662,23547,4695,1115,0.8020914943625029
nmdc:bsm-11-wrvmh591,kingdom,4,4,4,0,0,1
nmdc:bsm-11-wrvmh591,phylum,119,124,114,5,10,0.8837209302325582
nmdc:bsm-11-wrvmh591,class,271,288,267,4,21,0.9143835616438356
nmdc:bsm-11-wrvmh591,order,521,535,509,12,26,0.9305301645338209
nmdc:bsm-11-wrvmh591,family,1153,1166,1121,32,45,0.9357262103505843
nmdc:bsm-11-wrvmh591,genus,4767,4376,4264,503,112,0.8739495798319328
nmdc:bsm-11-wrvmh591,species,28760,24235,23473,5287,762,0.7951019578619335
