soil_horizon,biosample_id,url
M horizon,nmdc:bsm-11-0b9aj433,https://data.microbiomedata.org/data/nmdc:omprc-11-gwwdat95/nmdc:wfmgan-11-jffc7w83.1/nmdc_wfmgan-11-jffc7w83.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0bj8v379,https://data.microbiomedata.org/data/nmdc:omprc-11-bn4p7519/nmdc:wfmgan-11-275a5p28.1/nmdc_wfmgan-11-275a5p28.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0bj91094,https://data.microbiomedata.org/data/nmdc:omprc-11-5z0qmq63/nmdc:wfmgan-11-7kdj9d76.1/nmdc_wfmgan-11-7kdj9d76.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0d6dns65,https://data.microbiomedata.org/data/nmdc:omprc-11-k8q4cz96/nmdc:wfmgan-11-se1g5373.1/nmdc_wfmgan-11-se1g5373.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0d7rka29,https://data.microbiomedata.org/data/nmdc:omprc-11-93ewj507/nmdc:wfmgan-11-1x944976.1/nmdc_wfmgan-11-1x944976.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0djp2e45,https://data.microbiomedata.org/data/nmdc:omprc-11-sr1vaf20/nmdc:wfmgan-11-dbj5hp91.1/nmdc_wfmgan-11-dbj5hp91.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0e61tc95,https://data.microbiomedata.org/data/nmdc:omprc-11-6phfec47/nmdc:wfmgan-11-6d271v55.1/nmdc_wfmgan-11-6d271v55.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0e7t9d56,https://data.microbiomedata.org/data/nmdc:omprc-11-09rnn664/nmdc:wfmgan-11-hj734354.1/nmdc_wfmgan-11-hj734354.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0earmn44,https://data.microbiomedata.org/data/nmdc:omprc-11-bfr3b327/nmdc:wfmgan-11-471x2k50.1/nmdc_wfmgan-11-471x2k50.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0ebe7s44,https://data.microbiomedata.org/data/nmdc:omprc-11-vdmtnk59/nmdc:wfmgan-11-s9vdff87.1/nmdc_wfmgan-11-s9vdff87.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0ewcv120,https://data.microbiomedata.org/data/nmdc:omprc-11-vnp0rc88/nmdc:wfmgan-11-rb52h977.1/nmdc_wfmgan-11-rb52h977.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0f7w3426,https://data.microbiomedata.org/data/nmdc:omprc-11-hk2mmd05/nmdc:wfmgan-11-tz9vys31.1/nmdc_wfmgan-11-tz9vys31.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0fg7rn04,https://data.microbiomedata.org/data/nmdc:omprc-11-exxbxg07/nmdc:wfmgan-11-dzm8ne60.1/nmdc_wfmgan-11-dzm8ne60.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0g28x785,https://data.microbiomedata.org/data/nmdc:omprc-11-db9g5v27/nmdc:wfmgan-11-59p03g42.1/nmdc_wfmgan-11-59p03g42.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0g6wkd40,https://data.microbiomedata.org/data/nmdc:omprc-11-hxf20h16/nmdc:wfmgan-11-q44bzs09.1/nmdc_wfmgan-11-q44bzs09.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0gmd9f09,https://data.microbiomedata.org/data/nmdc:omprc-11-gaptm502/nmdc:wfmgan-11-me7h8h69.1/nmdc_wfmgan-11-me7h8h69.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0gy85h88,https://data.microbiomedata.org/data/nmdc:omprc-11-bw8g3t44/nmdc:wfmgan-11-n5rhxy70.1/nmdc_wfmgan-11-n5rhxy70.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0h7ft579,https://data.microbiomedata.org/data/nmdc:omprc-11-de7htm36/nmdc:wfmgan-11-cgf22h28.1/nmdc_wfmgan-11-cgf22h28.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0hc2cc92,https://data.microbiomedata.org/data/nmdc:omprc-11-xab9cn50/nmdc:wfmgan-11-63r3p718.1/nmdc_wfmgan-11-63r3p718.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0hjwvs60,https://data.microbiomedata.org/data/nmdc:omprc-11-2bpvvb18/nmdc:wfmgan-11-37m4zs87.1/nmdc_wfmgan-11-37m4zs87.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0hkm4783,https://data.microbiomedata.org/data/nmdc:omprc-11-83e9ph40/nmdc:wfmgan-11-ej6ypt19.1/nmdc_wfmgan-11-ej6ypt19.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0hmr6870,https://data.microbiomedata.org/data/nmdc:omprc-11-kfxafd58/nmdc:wfmgan-11-vzmzhk85.1/nmdc_wfmgan-11-vzmzhk85.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0jsqys69,https://data.microbiomedata.org/data/nmdc:omprc-11-jx7v9r87/nmdc:wfmgan-11-k1yde692.1/nmdc_wfmgan-11-k1yde692.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0jxgba87,https://data.microbiomedata.org/data/nmdc:omprc-11-whgh5b79/nmdc:wfmgan-11-89y1xr41.1/nmdc_wfmgan-11-89y1xr41.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0k5bep35,https://data.microbiomedata.org/data/nmdc:omprc-11-c5q7a198/nmdc:wfmgan-11-kt7t9c54.1/nmdc_wfmgan-11-kt7t9c54.1_scaffold_lineage.tsv
M horizon,nmdc:bsm-11-0k6dy332,https://data.microbiomedata.org/data/nmdc:omprc-11-ck4j3r66/nmdc:wfmgan-11-fvb55946.1/nmdc_wfmgan-11-fvb55946.1_scaffold_lineage.tsv
