Gold_biosampple	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.2	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.3	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.14.6	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.15.1	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	metaSPAdes v. 3.15.0;NMDC version of IMG Annotation Pipeline v.5.0.25	spades v. 3.11.1;IMG Annotation Pipeline v.4.16.2	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.2	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.3	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.14.6	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.15.1	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	metaSPAdes v. 3.15.0;NMDC version of IMG Annotation Pipeline v.5.0.25	spades v. 3.11.1;IMG Annotation Pipeline v.4.16.2	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.2	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.3	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.14.6	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.15.1	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	metaSPAdes v. 3.15.0;NMDC version of IMG Annotation Pipeline v.5.0.25	spades v. 3.11.1;IMG Annotation Pipeline v.4.16.2
ID	Unique_KO_count	Unique_KO_count	Unique_KO_count	Unique_KO_count	Unique_KO_count	Unique_KO_count	Unique_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_features_count	Total_features_count	Total_features_count	Total_features_count	Total_features_count	Total_features_count	Total_features_count
Gb0139026		5160			5323	4544	4785		200552			186220	160024	134770		558117			541955	522856	378259
Gb0150249			7766		7257	6264				1020030		834660	724752				2809323		2286515	2188713	
Gb0150238			6221		6262	5409				808911		710027	615182				2208572		1954409	1892558	
Gb0153619				6257	6240						649639	523189						1882632	1556790		
Gb0139031	5265				5565	4790	4868	220336				236393	202053	147334	654578				731936	702616	437538
Gb0139019		5257			5413	4668	5014		221170			216902	186471	165983		609559			621755	601517	455632
Gb0139016		6072			6283	5281	4816		201420			162811	138732	94589		562715			484121	457913	275576
Gb0153612				6139	6109						648094	520352						1767881	1483402		
Gb0139032		6376			6699	5684	5280		241145			235546	204054	161885		681388			662096	634460	442841
Gb0139034		5285			5426	4644			226335			215111	184471			657971			646634	624589	
Gb0153647				6495	6430						684464	544791						1880513	1539205		
Gb0153610				5978	5968	5133					550081	457058	388875					1563227	1327526	1280246	
Gb0150252			9798		9796	8276				1173084		906906	785683				3311630		2603585	2488163	
Gb0153638				5480	5551	4738					340531	296960	252578					993331	886973	858370	
Gb0139018		5139			5290	4524	4741		190666			180489	154624	125104		548932			534090	512722	358111
Gb0139025		5271			5442	4632	4922		260577			259895	220458	179496		746806			757674	729159	510087
Gb0153648				6075	6006						495987	395892						1360979	1142387		
Gb0139017		5019			5179	4430	4643		176148			183447	156195	129809		516373			543779	524221	377551
Gb0139006		4945			5063	4353	4646		178903			172815	148233	131972		502296			507543	489795	371425
Gb0153626				5950	6026						549974	481073						1629566	1447544		
Gb0153615				6218	6237	5369					619032	513532	438940					1761931	1503192	1452013	
Gb0139015		5182			5312	4544	4825		218678			201650	171065	141373		682525			642106	619395	437772
Gb0150250			6275		6207	5335				857626		765096	663128				2355957		2105374	2039872	
Gb0153632				5763	5684						405178	328713						1130588	959450		
Gb0150241				7528	7274	6281					1309867	1090417	945033					3695756	3078481	2987433	
Gb0139037		5581			5758	4955			331634			321566	274616			922830			904130	870721	
Gb0139013		5404			5584	4742	5006		284578			286197	244136	199017		805380			819323	789980	555434
Gb0150254			5652		5710	4899				453261		386902	331836				1280215		1104677	1075796	
Gb0150259			6501		6420					834462		700466					2410788		2048877		
Gb0153614				5815	5824	5015					479910	416201	354249					1387084	1219744	1175442	
Gb0139021		5384			5622	4808	5007		253520			288646	245686	187154		740309			861611	827557	534386
Gb0139007		4714			4907	4222	4485		135936			150892	128825	105211		372883			439046	423410	283807
Gb0139030		4989			5166	4426	4665		170899			162952	139208	121592		562432			545567	528413	392307
Gb0153643				6174	6071						580578	460540						1619909	1338659		
Gb0153637				6782	6708	5749					839739	687646	587273					2370440	1957685	1890016	
Gb0150251			6238		6289	5400				747112		648292	553833				2145675		1889907	1832464	
Gb0153646				6371	6304						549723	439306						1573136	1287801		
Gb0150246			8743		8980	7626				1098692		876685	765731				2952719		2375915	2292384	
Gb0150256			6556		6572					1040675		896840					2786919		2403491		
Gb0153652				6870	6874						1007660	820626						2778506	2275694		
Gb0153609				6965	6822	5886					1064609	847758	729703					2910804	2324383	2246063	
Gb0150237			6977		6552	5693				912782		743582	651373				2388064		1941543	1871123	
Gb0139014		4989			5187	4439	4718		171195			173499	148033	131426		522223			532147	515713	390709
Gb0153625				7545	7442						1031527	824367						2828874	2272206		
