Gold_biosample	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1
Gb0153651		1107515	880102			938628001	765675488			531204	348069			722077093	576233761			175608	132604			482285106	429557572			5416	5682			482285106	429557572			276862	814803			482285106.0	429557572.0	
Gb0139027	399825		411771	281214	395577318		343171009	257402635	242618		151751	106838	329903897		250829770	195220975	71413		51889	38647	215357207		183261739	149081559	2886		2623	2139	215357207		183261739	149081559	652523		1117546	821033	215357207.0		183261739.0	149081559.0
Gb0150243		2401732	1907242			1592493073	1171872462			1076102	668250			1086794476	728264831			274017	198153			553915570	411087668			2720	2135			553915570	411087668			286894	584118			553915570.0	411087668.0	
Gb0153620		2044994	1634079			1615286087	1277360136			966096	645258			1206412119	925672129			309307	236183			764218572	646581779			7026	6299			764218572	646581779			379617	776251			764218572.0	646581779.0	
Gb0139024	540811		532830	336731	435666608		352622595	234047205	322101		189291	122990	344085206		229805342	157694281	83436		59739	41021	185254780		142511177	102354419	1442		1276	1067	185254780		142511177	102354419	228855		196594	182821	185254780.0		142511177.0	102354419.0
Gb0153616		1058032	848073			891496706	724830113			505929	326507			683948845	539583136			164439	119580			453652388	398679729			4798	5072			453652388	398679729			437919	1080307			453652388.0	398679729.0	
Gb0150245		1027308	853771			981404246	844229963			526213	369877			791885743	670474813			194462	157891			567437163	525432352			6715	6717			567437163	525432352			262254	952839			567437163.0	525432352.0	
Gb0153613		1929626	1591931			1453067486	1152796741			891156	596507			1061282255	799373105			266804	211691			643560037	537911489			5588	4860			643560037	537911489			280518	334323			643560037.0	537911489.0	
Gb0153611		815609	634132			756608352	631941076			401207	257914			601599447	497739755			136994	102297			422886394	391647567			5516	5473			422886394	391647567			576802	1407937			422886394.0	391647567.0	
Gb0153623		1012071	835289			892402364	735050006			498770	337446			698186561	557240296			168176	124885			474508525	411958558			5601	5309			474508525	411958558			577464	821099			474508525.0	411958558.0	
Gb0153636		1038852	788854			832639360	652755488			478881	294485			624145742	477176166			146797	105280			401158911	348906416			4018	4231			401158911	348906416			490475	650574			401158911.0	348906416.0	
Gb0139039	309649		304770	210240	312655503		268907544	202802245	196843		124073	88596	265654944		203941708	159112565	64176		46527	34436	176165576		151343868	122143193	1878		1891	1906	176165576		151343868	122143193	199001		398489	302864	176165576.0		151343868.0	122143193.0
Gb0139022	329111		320747	213655	304625436		257442604	187628138	198105		118467	83475	250244368		185481043	141265268	57516		41375	31286	156142537		133355110	105826399	1499		1626	1421	156142537		133355110	105826399	725625		725634	725606	156142537.0		133355110.0	105826399.0
Gb0139010	327642		338634	264861	369090934		332546245	259665405	214223		156939	127016	322839953		267078388	209542014	81922		66253	51639	232775866		204651814	157523572	2349		2107	1563	232775866		204651814	157523572	534137		763624	656882	232775866.0		204651814.0	157523572.0
Gb0139009	521795		663138	358463	447809257		409018996	268870527	313170		196396	136932	361550506		253707218	189830520	89610		63721	48401	212205076		164176919	129627413	1866		1634	1312	212205076		164176919	129627413	418831		418782	512988	212205076.0		164176919.0	129627413.0
Gb0153635		858643	649771			714145524	564076189			400009	246772			542111664	420596766			124685	91037			357424364	315004224			4203	4247			357424364	315004224			422279	1335865			357424364.0	315004224.0	
Gb0150248		850339	690153			809448634	689438929			432758	291918			652054071	546159034			154508	119984			464190093	428978459			5895	6235			464190093	428978459			615755	1235020			464190093.0	428978459.0	
Gb0139005	356136		380294	271022	336453559		296658355	217063626	224966		155672	114803	282105153		216162636	160718571	76157		58780	42328	181847048		150071626	111177516	1185		1200	972	181847048		150071626	111177516	275579		302671	302864	181847048.0		150071626.0	111177516.0
Gb0139011	439513		442459	302138	402553917		343158266	251366596	266474		164846	117623	330833713		244410945	185435624	80511		58079	43610	206215937		172095784	135188755	2055		2071	1453	206215937		172095784	135188755	276800		713989	827943	206215937.0		172095784.0	135188755.0
Gb0153618		684597	581711			626119570	535704495			350198	242070			500322046	414117043			124015	92487			346894502	312029492			3988	4343			346894502	312029492			351045	464469			346894502.0	312029492.0	
Gb0139028	467602		554910	259563	352323147		295153956	166767120	265778		137558	82417	267367233		156570703	103949193	57332		34884	24914	129791174		88348593	65721311	1458		1126	643	129791174		88348593	65721311	183100		182876	66973	129791174.0		88348593.0	65721311.0
Gb0139041	408920		424517	278903	366638604		313188270	224345902	241663		146988	99965	296688600		215014584	160819483	68470		49080	33504	181249406		148881267	115909184	2256		1789	1382	181249406		148881267	115909184	339257		653471	653471	181249406.0		148881267.0	115909184.0
Gb0150260		763458	622765			724871157	619003006			388737	260288			583480343	488169923			134784	101421			411802433	380091815			5649	5991			411802433	380091815			336087	769140			411802433.0	380091815.0	
Gb0150244		1756826	1441950			1366076576	1092245178			840404	558908			1017419223	775494628			255512	193765			625266801	527444960			5851	5988			625266801	527444960			494643	600470			625266801.0	527444960.0	
Gb0153630		644736	540354			582298802	489003357			328296	225060			462861735	376106399			118237	87824			320593450	282285312			3356	3663			320593450	282285312			461181	599265			320593450.0	282285312.0	
Gb0139029	458598		492669	363965	474754225		427692381	329371237	293739		210499	160263	407290432		326729502	255830022	104823		83341	62460	279252639		239729173	188777950	2675		2314	2155	279252639		239729173	188777950	330574		373589	464560	279252639.0		239729173.0	188777950.0
Gb0153629		1715397	1390349			1312260430	1030161781			829979	548615			977120919	728484163			249703	186643			586528275	482470468			5122	5201			586528275	482470468			567502	688257			586528275.0	482470468.0	
Gb0153653		658454	550434			596308720	503288300			322543	221240			470849590	386359423			114476	86772			330154498	294515080			3922	4038			330154498	294515080			460658	644847			330154498.0	294515080.0	
Gb0150239		1252611	1055195			1083380676	903572106			625698	441931			846961070	683512803			212608	165376			567492373	494390780			6260	5807			567492373	494390780			400101	527397			567492373.0	494390780.0	
Gb0150253		1673107	1372508			1346684327	1086204021			816516	555051			1021396164	791941011			257928	202333			646154746	551776833			6195	5795			646154746	551776833			500197	745657			646154746.0	551776833.0	
Gb0153621		2139732	1647141			1413515648	1018858889			934140	545835			955319740	627182999			226871	160664			485337856	368575361			3252	2603			485337856	368575361			305833	522427			485337856.0	368575361.0	
Gb0153627		690750	533040			636744646	521744212			329850	212801			501713448	407846999			110451	82436			353853950	318959292			4641	4208			353853950	318959292			356469	1137381			353853950.0	318959292.0	
Gb0153644		939535	731565			797099261	643256226			430792	270531			605311654	480498636			138461	103295			409686133	366959649			5401	5145			409686133	366959649			363772	1003772			409686133.0	366959649.0	
Gb0153628		722765	570648			673548453	558285787			359857	238462			537465671	439962678			130494	94094			382101169	341022126			4359	4576			382101169	341022126			567606	851739			382101169.0	341022126.0	
Gb0153639		896965	692948			773919335	626213914			425619	269800			596732575	475716048			135504	104596			401765962	363401116			4941	4511			401765962	363401116			345754	896222			401765962.0	363401116.0	
Gb0153631		1358661	1063405			1051637128	816455468			641322	399848			780669946	579948365			192653	138784			478781647	402903348			4300	4229			478781647	402903348			432463	1711003			478781647.0	402903348.0	
Gb0150255		2392028	1775630			1507895225	1047214811			1022649	564369			985468900	614002192			219283	148622			455773009	336320275			3071	2739			455773009	336320275			368932	470230			455773009.0	336320275.0	
Gb0139033	521372		532020		444612018		370372513		316036		189256		358191341		248008445		83912		59000		203354317		160276990		2216		1890		203354317		160276990		198997		275878		203354317.0		160276990.0	
Gb0153649		2105067	1705729			1521702977	1168567014			979472	628820			1094233408	783678067			272922	205979			621444499	497484085			4787	4416			621444499	497484085			359529	517431			621444499.0	497484085.0	
Gb0153617		2048228	1699619			1482415657	1157701020			952890	618185			1066039773	771850285			268824	202659			608334550	490653404			4526	4080			608334550	490653404			238042	339671			608334550.0	490653404.0	
Gb0139036	416810		390352	239025	305622201		230514172	143426595	234609		125356	79049	229034813		136612396	86893164	53675		36079	22830	109955977		76654034	49108979	738		542	300	109955977		76654034	49108979	79854		81732	47117	109955977.0		76654034.0	49108979.0
Gb0139012	408283		291457	162934	244469235		137652401	77193609	185162		63617	34534	151381751		59495866	33643160	27716		13535	6577	50385595		26384883	15193680	271		249	201	50385595		26384883	15193680	85710		64276	37182	50385595.0		26384883.0	15193680.0
Gb0153650		866551	701054			748359065	605939081			424650	276577			581384662	454244540			139519	102157			389259095	335550465			4590	4469			389259095	335550465			345754	597111			389259095.0	335550465.0	
Gb0139004	413852		468305		258970574		194279883		210156		85910		172862261		71088525		38587		17028		60835216		25533816		11		5		60835216		25533816		39376		39352		60835216.0		25533816.0	
Gb0139023	474350		466962	330339	461880473		390100288	289491134	297567		189710	135769	388131210		290679277	219564091	93045		66308	47974	250093504		206682395	159922840	2863		2591	1926	250093504		206682395	159922840	381174		964114	1145228	250093504.0		206682395.0	159922840.0
Gb0150258		2684725	2273412			1925888078	1501979054			1256658	851607			1381895397	992868494			359357	268250			780653619	597134600			5728	4584			780653619	597134600			451014	1439287			780653619.0	597134600.0	
Gb0139020	418482		387975	237470	307498014		226855903	141448281	226769		119667	78039	226595595		132365144	85304854	52899		35519	23171	112439915		75936498	48260943	530		362	278	112439915		75936498	48260943	313653		449760	180661	112439915.0		75936498.0	48260943.0
Gb0139026	319033		319467	227793	326855319		282117699	212452748	202400		132642	97451	278370949		214982182	165427033	66341		49066	37397	186385731		158143056	124527696	2155		2068	1757	186385731		158143056	124527696	548548		643477	643300	186385731.0		158143056.0	124527696.0
Gb0150249		2086537	1649976			1404112669	1045444893			902997	559326			954157650	657747054			230503	173366			508442656	397832303			3253	2154			508442656	397832303			464209	541767			508442656.0	397832303.0	
Gb0150238		1448064	1258606			1216650569	1013325000			708496	503484			934664839	742424619			230150	183423			612986282	524393763			6490	5875			612986282	524393763			639892	1398389			612986282.0	524393763.0	
Gb0153619		1235992	971366			987274740	784415002			581720	370381			741458870	570555501			178071	131098			470315025	408092611			4783	4860			470315025	408092611			594789	1588580			470315025.0	408092611.0	
Gb0139031	393775		490018	281365	366662470		334429071	231793962	242840		160524	118184	304527886		225296108	173351450	78269		57747	43293	193726170		155297911	122027346	1564		1425	1238	193726170		155297911	122027346	557171		558468	714892	193726170.0		155297911.0	122027346.0
Gb0139019	328310		352205	259744	376038450		339279184	269856311	207680		140380	108415	325694406		263563428	215423988	70927		52779	41822	233459294		204091107	170056656	2982		2860	2543	233459294		204091107	170056656	652589		896222	724823	233459294.0		204091107.0	170056656.0
Gb0139016	414478		376942	229223	279588428		198020906	118173958	216669		109739	65281	196144320		104124869	60536151	46331		26778	14157	84468637		48608769	26506024	289		224	147	84468637		48608769	26506024	96613		69994	69371	84468637.0		48608769.0	26506024.0
Gb0153612		1144628	908909			950523475	769260603			545567	345606			724726447	568931237			173586	125258			474740914	419154480			5165	5178			474740914	419154480			379820	914106			474740914.0	419154480.0	
Gb0139032	426492		423891	286436	392602533		331420136	243068996	251812		161361	116063	320341037		238403636	182486950	75251		60292	44835	202502752		169790130	133873004	2207		2000	1546	202502752		169790130	133873004	294379		515466	466224	202502752.0		169790130.0	133873004.0
Gb0139034	367807		375855		384842802		336628912		237348		160552		330686884		258814598		80406		59907		224259236		190289151		2280		2156		224259236		190289151		235933		896222		224259236.0		190289151.0	
Gb0153647		1238926	961848			994196240	786249264			577028	359449			744760010	572241254			176522	128467			476238487	415443390			5373	5412			476238487	415443390			432463	2190920			476238487.0	415443390.0	
Gb0153610		1038361	846587			835296462	670443254			495839	324685			629855454	484308048			156655	115136			402127651	341857516			4274	4246			402127651	341857516			219973	302671			402127651.0	341857516.0	
Gb0150252		2412158	1876583			1632838984	1179424170			1102293	683655			1133749853	749938998			290506	203617			592855118	425790346			3236	2229			592855118	425790346			340579	1201201			592855118.0	425790346.0	
Gb0153638		601930	511543			566826595	482987791			309821	215501			456607795	376697212			111514	84939			321898347	287653398			3836	3762			321898347	287653398			280488	376824			321898347.0	287653398.0	
Gb0139018	336587		335036	228935	307660574		262047230	191999222	203518		125802	90693	252274389		187723908	142649239	60090		44735	33838	156206472		132732824	103962993	1494		1503	1179	156206472		132732824	103962993	494579		557179	557189	156206472.0		132732824.0	103962993.0
Gb0139025	461649		487262	337267	423013665		372044930	271177088	292818		191727	130237	352640716		265930942	196726133	90718		64426	42974	216414562		179440108	137596128	1942		1952	1799	216414562		179440108	137596128	199001		302671	302864	216414562.0		179440108.0	137596128.0
Gb0153648		852495	673461			745532824	606095532			401517	259530			576877012	459119679			133677	96674			396075270	348435802			4487	4397			396075270	348435802			602004	2236059			396075270.0	348435802.0	
Gb0139017	304858		343643	247139	306302471		275786765	204133067	197787		142090	101551	261477130		203430994	151579070	65736		50033	34959	171853827		140472354	106281556	1914		1808	1481	171853827		140472354	106281556	296706		199009	199041	171853827.0		140472354.0	106281556.0
Gb0139006	284106		303615	230664	296463152		262135380	204041937	180965		127610	97748	253301708		199207603	156121628	64212		48921	35713	174170623		145321361	113705883	1499		1308	1225	174170623		145321361	113705883	481342		801213	796766	174170623.0		145321361.0	113705883.0
Gb0153626		1014904	856464			907176821	771495938			513568	364135			719054954	595832135			185032	144332			495908048	445223356			5099	5496			495908048	445223356			346337	907013			495908048.0	445223356.0	
Gb0153615		1141654	929056			932396028	761057777			551342	369669			710651181	562161338			179711	137185			459714376	403367702			4598	4576			459714376	403367702			409686	643300			459714376.0	403367702.0	
Gb0139015	401756		382790	259846	388544363		328575257	247273015	239566		144865	103980	322570428		243859524	191792573	71198		52103	41805	209675574		181208309	149546788	2842		2591	2010	209675574		181208309	149546788	267620		713989	646323	209675574.0		181208309.0	149546788.0
Gb0150250		1535147	1322589			1349297074	1141103245			754609	539969			1053274537	861032155			254866	205519			716846098	632801140			8478	7687			716846098	632801140			373522	539418			716846098.0	632801140.0	
Gb0153632		686634	544698			639091210	525890002			336935	222713			507698527	411099982			118648	85815			359784122	317575822			4534	4235			359784122	317575822			435293	913331			359784122.0	317575822.0	
Gb0150241		2296688	1852634			2121570615	1692967489			1172833	784542			1694858622	1308310214			398050	294044			1171225224	974033374			14004	11792			1171225224	974033374			566780	1398358			1171225224.0	974033374.0	
Gb0139037	577210		594022		514369900		436060878		358876		229345		422876265		305402499		108665		80185		255359329		204300974		2035		2018		255359329		204300974		310378		549383		255359329.0		204300974.0	
Gb0139013	494432		526280	365538	458038491		405153957	297656245	311066		208896	148145	381668071		291313634	219419684	97966		74468	54006	238322297		199990600	155398499	2137		1919	1491	238322297		199990600	155398499	228855		253586	248511	238322297.0		199990600.0	155398499.0
Gb0150254		746181	588086			768604457	658595744			379365	252612			630999323	537898845			141086	108662			470080182	439748885			6978	7325			470080182	439748885			408498	1235020			470080182.0	439748885.0	
Gb0150259		1587854	1297277			1280739972	1044162456			760810	514736			970085017	763302765			241084	185032			620530536	539072444			6588	6421			620530536	539072444			297293	454837			620530536.0	539072444.0	
Gb0153614		895296	754897			762974342	630995506			448396	301663			593578440	468780431			147732	108243			390663006	337070687			4152	4025			390663006	337070687			275788	365280			390663006.0	337070687.0	
Gb0139021	443176		580523	355410	424805212		399510415	280313594	286456		203804	146684	359439389		272213612	204794749	95891		69703	48621	230345842		180713769	137997213	2040		1752	1426	230345842		180713769	137997213	199001		302615	302864	230345842.0		180713769.0	137997213.0
Gb0139007	198789		272548	164596	232791997		222136994	165011679	126061		89430	68693	202356838		160978793	130533097	44177		33751	26648	147174594		123206576	101818608	1831		1202	1063	147174594		123206576	101818608	805806		1498670	1111327	147174594.0		123206576.0	101818608.0
Gb0139030	306456		300410	217917	328484557		291670651	227323873	189659		128095	95284	282087204		230081052	183136451	66484		50101	37638	198471787		176802869	143752004	2246		2335	2059	198471787		176802869	143752004	445903		650574	879491	198471787.0		176802869.0	143752004.0
Gb0153643		1044801	806881			870554402	701111674			489675	303070			662181765	522486062			154269	112018			436745228	392759397			5283	5201			436745228	392759397			630062	1590731			436745228.0	392759397.0	
Gb0153637		1618099	1298242			1226869732	955315753			779732	511970			909190487	673529237			236579	180015			544077726	447892404			4165	3764			544077726	447892404			401289	522476			544077726.0	447892404.0	
Gb0150251		1342946	1133454			1201205059	1015218785			676048	477760			950599358	779208776			231440	182129			649862316	577344637			7849	7692			649862316	577344637			387206	627283			649862316.0	577344637.0	
Gb0153646		1044577	807672			833613895	655648899			478910	291719			620453169	473055814			145979	103911			397737954	345692917			4618	4948			397737954	345692917			478860	879554			397737954.0	345692917.0	
Gb0150246		2101119	1673069			1449291736	1087516388			909653	565877			995810591	693191152			235107	174336			548252172	429711325			4983	4210			548252172	429711325			290966	300211			548252172.0	429711325.0	
Gb0150256		1834075	1541474			1523341253	1246702456			895930	613906			1166750501	913651150			279917	218470			752640127	644815749			8613	7658			752640127	644815749			566781	747535			752640127.0	644815749.0	
Gb0153652		1951273	1572446			1388096435	1061197285			895876	569697			987682686	704046944			249543	188436			555013324	446322084			4033	3487			555013324	446322084			228855	434121			555013324.0	446322084.0	
Gb0153609		2059710	1625873			1443896493	1076718625			913701	558669			1008064845	696683643			234495	174474			557179951	438112583			4684	3852			557179951	438112583			382328	400280			557179951.0	438112583.0	
Gb0150237		1713631	1366327			1201575385	907113193			771287	488940			842647861	593971224			205420	150205			465548397	364775470			3749	3219			465548397	364775470			329643	567604			465548397.0	364775470.0	
Gb0139014	273969		287914	211351	324781543		297938891	239897380	175043		124820	97612	284217342		239723937	198890350	65138		52899	42309	209733294		190410011	160833418	2854		2812	2324	209733294		190410011	160833418	525549		879596	879491	209733294.0		190410011.0	160833418.0
Gb0153625		2004249	1581597			1411724534	1059807653			909381	564806			995718623	697246518			243517	181941			551835631	438612796			4447	3921			551835631	438612796			339914	164657			551835631.0	438612796.0	
