Gold_biosample	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 1.0.3	MEGAHIT v. 1.0.6	metaSPAdes v. 3.15.0	spades v. 3.11.1
ID	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Largest_contig_size	Largest_contig_size	Largest_contig_size	Largest_contig_size	auN	auN	auN	auN
Gb0139038	906344		819100	518038	663245490		483372323	311019600	510105		262101	164847	495688624		285344943	185973729	110839		70437	45457	232146287		157063265	106054443	1887		1290	1029	232146287		157063265	106054443	143245		235304	235178	232146287.0		157063265.0	106054443.0
Gb0153641		1995899	1498194			1396580715	1024848153			885261	534563			974616977	683487503			244983	180651			548094907	443756803			3902	3981			548094907	443756803			478990	567510			548094907.0	443756803.0	
Gb0150240		2369467	1941553			1700063704	1316778045			1079039	711614			1207680955	876537297			299020	232572			688719006	552339715			5605	4326			688719006	552339715			597922	613697			688719006.0	552339715.0	
Gb0153633		1907180	1493645			1388894958	1039946993			882413	538342			998843961	698546454			243193	178922			572881693	455875604			4820	4468			572881693	455875604			238042	386706			572881693.0	455875604.0	
Gb0150247		2303246	1913033			1682437597	1323106696			1097085	729151			1222256652	897807482			313089	238442			697023556	564933920			5089	4528			697023556	564933920			469105	1015950			697023556.0	564933920.0	
Gb0139040	348645		357793	263992	379497119		340790101	268418895	221617		152300	118902	327395025		267439213	216121429	78977		62082	49431	230820074		205755624	168451613	2791		2548	2133	230820074		205755624	168451613	331355		1224510	989701	230820074.0		205755624.0	168451613.0
Gb0153645		1775528	1302034			1216538912	865948372			778990	453951			838569248	565946971			209339	149094			459512474	359821142			3047	3139			459512474	359821142			251164	228609			459512474.0	359821142.0	
Gb0139008	491563		424672	241195	324645128		220646956	127926388	256196		111348	62944	225187398		110300243	65687356	44941		25763	16124	87312972		53837170	34681918	494		340	250	87312972		53837170	34681918	139372		45454	41267	87312972.0		53837170.0	34681918.0
Gb0153640		771932	629241			701375928	577578029			375409	256093			552124407	444521522			129078	97786			385929001	336378151			5022	4125			385929001	336378151			792467	1750631			385929001.0	336378151.0	
Gb0150257		1065631	907580			1036404323	896932039			545644	385040			840271210	709905601			198961	158063			605723494	554861101			8310	8634			605723494	554861101			534124	666935			605723494.0	554861101.0	
Gb0153622		817669	703410			749384793	638076976			417769	297101			598243743	492496511			149907	117333			416626092	369592891			4784	4762			416626092	369592891			462690	806545			416626092.0	369592891.0	
Gb0150242		1238719	1047635			1169961297	1001503944			629350	455805			942278594	789245698			227628	184697			670049486	603744003			9131	9073			670049486	603744003			290057	758866			670049486.0	603744003.0	
Gb0139035	506364		488393	331150	465128805		384335545	291384260	290260		165778	118654	374740825		270781300	216225697	82270		57094	43274	236330063		197529800	165253807	2899		2758	2616	236330063		197529800	165253807	487053		713989	643300	236330063.0		197529800.0	165253807.0
Gb0153634		1020614	813409			890296376	716069429			507472	341352			697281978	547242795			177270	130962			473910359	403235123			4794	4446			473910359	403235123			418917	731357			473910359.0	403235123.0	
Gb0153642		980752	832324			849147719	713114476			494602	344990			665805577	538786403			172472	132691			447280424	393715807			4674	4619			447280424	393715807			375170	420676			447280424.0	393715807.0	
Gb0153624		1862372	1535457			1531650422	1255880150			917043	630310			1175745562	932336960			307148	239949			763318305	665619198			7161	7087			763318305	665619198			374549	557528			763318305.0	665619198.0	
