Gold_biosample	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1
ID	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Largest_contig_size	Largest_contig_size	Largest_contig_size	Largest_contig_size	auN	auN	auN	auN
Gb0115840	4551594		4551594		2079136183		2079136183		981737		981737		866354125		866354125		212199		212199		357075626		357075626		462		462		357075626		357075626		91975		91975		357075626.0		357075626.0	
Gb0115867	4847318		4847318		2603517027		2603517027		1377461		1377461		1409546760		1409546760		369664		369664		733282680		733282680		3026		3026		733282680		733282680		2010344		2010344		733282680.0		733282680.0	
Gb0115853	2020522	7052879	2020522		955740482	5638172185	955740482		491770	4157827	491770		426879430	4413992515	426879430		102735	1110989	102735		169436523	2386642801	169436523		155	15568	155		169436523	2386642801	169436523		46144	1035431	46144		169436523.0	2386642801.0	169436523.0	
Gb0115862	6387808		6387808		3851904016		3851904016		2092784		2092784		2365516692		2365516692		673510		673510		1404200910		1404200910		7136		7136		1404200910		1404200910		164616		164616		1404200910.0		1404200910.0	
Gb0115855	7003662		7003662		4348498977		4348498977		2477222		2477222		2745387977		2745387977		780442		780442		1596840059		1596840059		6941		6941		1596840059		1596840059		252619		252619		1596840059.0		1596840059.0	
Gb0115852	6192071		6192071	6173504	4465016540		4465016540	4293335368	2469185		2469185	2348691	3141278561		3141278561	2925434476	903540		903540	805121	2072990774		2072990774	1874895941	13678		13678	13598	2072990774		2072990774	1874895941	334059		334059	476264	2072990774.0		2072990774.0	1874895941.0
Gb0115854	6443641	5811134	6443641		3609643939	4319289642	3609643939		1990403	3231022	1990403		2062320146	3233386272	2062320146		581018	796630	581018		1113948767	1623954847	1113948767		3408	8035	3408		1113948767	1623954847	1113948767		172880	172068	172880		1113948767.0	1623954847.0	1113948767.0	
Gb0115850	3059812	2756394	3059812	2709329	1677166997	1993281614	1677166997	1435914458	922868	1541377	922868	773279	933898858	1476366542	933898858	761715134	255440	353540	255440	199389	485593096	692924807	485593096	377366214	1727	3528	1727	1334	485593096	692924807	485593096	377366214	129376	144792	129376	324835	485593096.0	692924807.0	485593096.0	377366214.0
Gb0115845	2564043		2564043	2547268	1162298517		1162298517	1135485256	544333		544333	511732	475033504		475033504	438410872	112166		112166	96577	189054330		189054330	165891913	435		435	443	189054330		189054330	165891913	273320		273320	280406	189054330.0		189054330.0	165891913.0
