"gold:Gb0195861",1207163,3300031835,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195908",1207257,3300031831,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195874",1207189,3300031959,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195842",1207125,3300031778,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195840",1207121,3300031713,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195920",1207281,3300031796,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0192454",1207287,3300031947,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195847",1207135,3300031794,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195856",1207153,3300031846,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0150423",1205395,3300031744,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0150423",1133477,3300016319,"IMG Annotation Pipeline v.4.15.1","MEGAHIT v. 1.0.6"
"gold:Gb0195839",1207119,3300031860,"IMG Annotation Pipeline v.4.16.5","spades v. 3.13.0"
"gold:Gb0195919",1207279,3300032055,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195843",1207127,3300031832,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195876",1207193,3300032051,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195902",1207245,3300032044,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0150422",1133475,3300016357,"IMG Annotation Pipeline v.4.15.1","MEGAHIT v. 1.0.6"
"gold:Gb0150422",1205394,3300031719,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
"gold:Gb0195852",1207145,3300031780,"IMG Annotation Pipeline v.4.16.5","spades v. 3.12.0"
