Gold_biosample	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0
ID	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Largest_contig_size	Largest_contig_size	Largest_contig_size	Largest_contig_size	auN	auN	auN	auN
Gb0195854		2556337		2722548		1172898302		1302852277		560009		650652		494838905		595031928		124799		156292		206034958		265628438		80174		101018		206034958.0		265628438.0
Gb0195902		2685003		2967118		1361685755		1572739030		718617		857383		688294991		846113410		189908		238644		333120985		429389022		80230		80230		333120985.0		429389022.0
Gb0195914		2213182		2520038		1131200185		1346712246		606356		745233		580557435		734454928		163285		209544		282717361		373413702		69872		69872		282717361.0		373413702.0
Gb0195861		2085859		2394075		1088414396		1306551630		589758		728302		574161362		730106660		162858		210269		286498828		380295663		69683		69683		286498828.0		380295663.0
Gb0195865		4288458		4361320		2102581471		2226698738		1053137		1135991		994826833		1119783674		268453		309321		471003908		565652754		62435		62475		471003908.0		565652754.0
Gb0195863		4572411		4657082		2191566731		2318536289		1083142		1172542		999560818		1125079885		263946		306217		453904780		545799467		80186		80186		453904780.0		545799467.0
Gb0195850		2079662		2380959		1064860243		1277418067		573566		710847		548525420		700951543		156095		203138		267444662		358178956		80041		80041		267444662.0		358178956.0
Gb0195881		1528466		1835032		793094892		993492170		410405		538340		411421903		546801639		114777		154096		212524934		287626942		57931		58013		212524934.0		287626942.0
Gb0195889		1506247		1832255		757544033		963906541		394358		526970		377764402		513573317		103175		141904		182440870		254496902		51261		53107		182440870.0		254496902.0
Gb0195885		3239916		3519334		1684130028		1910287906		880836		1030915		873557981		1050968664		243169		297483		445455099		557145661		61969		110154		445455099.0		557145661.0
Gb0150430	4436249	5642254		5530882	2760125434	3840007912		3939617194	1985805	2288655		2357768	1825907718	2646283900		2808480947	470373	772279		826199	817277270	1612948161		1762035191	123140	136731		138369	817277270.0	1612948161.0		1762035191.0
Gb0192458		3938914		4279567		2280064026		2553672073		1322254		1509195		1362014879		1576629829		381247		448610		727619202		859696124		123681		105017		727619202.0		859696124.0
Gb0195900		2825088		3093350		1466595731		1673852624		772458		904338		763808967		920175742		215665		262917		389322820		487893282		80278		117630		389322820.0		487893282.0
Gb0192461		4993974		5223136		2990282738		3232367196		1762078		1930586		1852320108		2068591026		533004		602795		1021665105		1169344082		116617		95181		1021665105.0		1169344082.0
