Gold_biosample	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0	"Metaspades v. 3.13.0"	"spades v. 3.11.1"	metaSPAdes v. 3.15.0
ID	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Largest_contig_size	Largest_contig_size	Largest_contig_size	auN	auN	auN
Gb0191669	2842627	2556255	2842627	1585374860	1349937512	1585374860	893136	710918	893136	914585586	719335122	914585586	256442	190485	256442	485534198	370318197	485534198	1415	1585	1415	485534198	370318197	485534198	207687	129793	207687	485534198.0	370318197.0	485534198.0
Gb0191658	1219001	979256	1219001	609465681	460038470	609465681	315412	213665	315412	302037332	204271258	302037332	78219	50541	78219	143842543	95661378	143842543	437	490	437	143842543	95661378	143842543	525431	227930	525431	143842543.0	95661378.0	143842543.0
Gb0191689	1473491	1227979	1473491	700209602	546084576	700209602	355277	242313	355277	322136493	218868884	322136493	79506	52181	79506	138955418	93229374	138955418	294	285	294	138955418	93229374	138955418	92397	70866	92397	138955418.0	93229374.0	138955418.0
Gb0191666	1820850	1488979	1820850	1029057120	795492854	1029057120	586771	422436	586771	602239619	431146417	602239619	168481	116923	168481	320294820	225813658	320294820	1038	888	1038	320294820	225813658	320294820	151510	87939	151510	320294820.0	225813658.0	320294820.0
Gb0191643	1437664	1202665	1437664	658819448	510491311	658819448	332584	225378	332584	285079307	185523444	285079307	68770	40817	68770	110128133	64026405	110128133	130	82	130	110128133	64026405	110128133	43398	43398	43398	110128133.0	64026405.0	110128133.0
Gb0191667	2412833	2207642	2412833	1074155930	933095814	1074155930	476891	366817	476891	428092976	325411962	428092976	101459	73514	101459	180357666	132735553	180357666	499	462	499	180357666	132735553	180357666	152714	89296	152714	180357666.0	132735553.0	180357666.0
Gb0191646	1301331	1021205	1301331	530530801	386115847	530530801	217184	124747	217184	169431775	93976822	169431775	31754	15025	31754	48485486	23225379	48485486	127	97	127	48485486	23225379	48485486	56794	44026	56794	48485486.0	23225379.0	48485486.0
Gb0191673	1665641	1419606	1665641	779041942	622410677	779041942	386794	273028	386794	346486428	240773624	346486428	83244	54779	83244	145282071	96969109	145282071	425	405	425	145282071	96969109	145282071	72556	101947	72556	145282071.0	96969109.0	145282071.0
Gb0191682	1605065	1285232	1605065	826959822	616866399	826959822	463693	312738	463693	432916195	286638634	432916195	112374	70269	112374	198053674	125314322	198053674	534	394	534	198053674	125314322	198053674	42088	72250	42088	198053674.0	125314322.0	198053674.0
Gb0191660	1455755	1143285	1455755	802208047	589324846	802208047	452527	311253	452527	455169455	306548248	455169455	127787	85040	127787	236833804	154540814	236833804	648	486	648	236833804	154540814	236833804	73736	71561	73736	236833804.0	154540814.0	236833804.0
